FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,46.391,38.314
86.133,37.924,31.26
129.2,31.57,24.687
172.27,27.11,24.106
215.33,28.148,25.59
258.4,26.053,25.076
301.46,24.026,22.728
344.53,22.314,22.726
387.6,24.003,24.528
430.66,25.671,23.901
473.73,21.183,22.545
516.8,21.818,22.142
559.86,22.622,22.577
602.93,24.452,22.196
646,23.42,22.616
689.06,23.458,22.485
732.13,25.349,24.772
775.2,22.96,23.542
818.26,25.449,24.211
861.33,27.76,24.302
904.39,26.667,22.229
947.46,25.517,23.323
990.53,26.023,25.845
1033.6,24.03,24.147
1076.7,26.807,23.24
1119.7,27.236,23.025
1162.8,24.722,23.529
1205.9,23.428,23.123
1248.9,25.044,21.445
1292,26.793,21.634
1335.1,22.058,21.969
1378.1,23.185,22.635
1421.2,21.169,23.164
1464.3,19.083,20.701
1507.3,18.866,20.251
1550.4,18.3,19.639
1593.5,17.326,19.316
1636.5,19.333,20.744
1679.6,18.284,20.311
1722.7,18.163,20.776
1765.7,18.708,21.819
1808.8,18.333,20.619
1851.9,20.288,19.055
1894.9,19.026,21.309
1938,16.204,21.705
1981.1,18.927,21.838
2024.1,18.586,21.077
2067.2,21.074,21.915
2110.3,18.645,19.234
2153.3,21.553,20.26
2196.4,20.956,19.528
2239.5,20.065,18.985
2282.5,19.064,15.963
2325.6,16.759,19.325
2368.7,19.697,20.953
2411.7,18.533,21.482
2454.8,18.689,21.77
2497.9,20.138,22.313
2540.9,19.343,21.903
2584,20.483,18.685
2627.1,20.161,21.303
2670.1,19.66,22.001
2713.2,18.602,20.645
2756.3,18.233,22.463
2799.3,19.267,21.603
2842.4,20.301,20.835
2885.4,19.68,21.363
2928.5,16.645,22.168
2971.6,17.5,22.119
3014.6,18.887,21.464
3057.7,19.198,20.17
3100.8,20.174,21.114
3143.8,19.632,20.804
3186.9,19.794,20.751
3230,20.796,21.54
3273,19.463,21.622
3316.1,18.982,19.508
3359.2,18.564,19.841
3402.2,17.699,21.663
3445.3,18.49,21.199
3488.4,18.043,21.337
3531.4,20.832,20.75
3574.5,19.04,21.626
3617.6,19.424,20.593
3660.6,19.981,22.089
3703.7,19.451,21.324
3746.8,19.634,18.865
3789.8,17.989,19.868
3832.9,18.447,19.069
3876,19.039,18.456
3919,19.664,20.346
3962.1,18.844,20.51
4005.2,17.985,20.883
4048.2,19.403,19.763
4091.3,16.514,19.438
4134.4,19.078,21.254
4177.4,17.938,21.825
4220.5,17.409,20.624
4263.6,19.441,21.748
4306.6,20.018,23.618
4349.7,20.074,24.009
4392.8,18.576,20.938
4435.8,17.497,21.037
4478.9,18.35,22.387
4522,21.548,21.462
4565,20.767,22.659
4608.1,19.804,20.55
4651.2,19.523,21.359
4694.2,20.102,21.707
4737.3,17.467,18.272
4780.4,19.646,19.731
4823.4,20.226,22.814
4866.5,20.969,22.366
4909.6,20.235,18.833
4952.6,19.423,21.612
4995.7,19.784,22.327
5038.8,20.786,20.905
5081.8,17.968,20.342
5124.9,19.262,21.023
5168,18.682,19.817
5211,16.501,20.502
5254.1,18.255,21.519
5297.2,20.084,20.697
5340.2,21.128,21.475
5383.3,19.514,19.905
5426.4,18.862,20.471
5469.4,19.19,21.409
5512.5,20.62,21.925
5555.6,21.07,20.628
5598.6,20.596,21.447
5641.7,19.571,18.111
5684.8,19.149,18.516
5727.8,20.45,19.804
5770.9,19.719,17.506
5814,20.131,20.247
5857,20.236,21.041
5900.1,20.628,21.929
5943.2,19.117,19.87
5986.2,21.063,19.304
6029.3,19.715,19.956
6072.4,21.159,20.472
6115.4,18.193,20.881
6158.5,20.242,17.844
6201.6,18.721,20.042
6244.6,17.606,17.751
6287.7,19.369,19.792
6330.8,18.722,21.816
6373.8,20.649,20.09
6416.9,19.524,18.144
6460,19.026,19.334
6503,19.335,19.65
6546.1,19.017,20.773
6589.2,18.331,19.163
6632.2,20.634,19.778
6675.3,22.275,19.462
6718.4,22.112,19.383
6761.4,19.534,19.756
6804.5,19.211,21.15
6847.6,19.063,22.047
6890.6,19.363,20.93
6933.7,18.406,18.685
6976.8,18.805,18.276
7019.8,20.822,18.791
7062.9,18.963,17.943
7106,17.214,17.598
7149,19.561,20.403
7192.1,19.036,19.174
7235.2,19.228,17.473
7278.2,18.583,17.973
7321.3,18.709,20.484
7364.4,18.764,21.444
7407.4,19.072,20.958
7450.5,19.035,21.947
7493.6,18.616,21.557
7536.6,18.765,20.676
7579.7,19.592,19.857
7622.8,20.675,20.578
7665.8,18.153,21.623
7708.9,17.414,19.83
7752,17.265,17.781
7795,18.815,17.574
7838.1,19.907,19.977
7881.2,20.08,15.675
7924.2,17.645,19.495
7967.3,20.042,21.041
8010.4,19.224,18.786
8053.4,17.346,20.803
8096.5,16.882,21.827
8139.6,21.527,20.36
8182.6,21.893,19.993
8225.7,19.008,18.85
8268.8,14.494,21.061
8311.8,19.045,20.406
8354.9,18.971,18.762
8397.9,19.099,19.622
8441,19.019,20.696
8484.1,19.478,20.764
8527.1,20.88,22.385
8570.2,22.966,23.248
8613.3,20.735,22.335
8656.3,19.429,20.566
8699.4,18.917,19.99
8742.5,19.615,20.396
8785.5,21.1,22.21
8828.6,21.411,21.259
8871.7,20.966,21.299
8914.7,20.333,19.799
8957.8,19.183,18.551
9000.9,16.321,16.115
9043.9,19.112,18.887
9087,19.12,21.276
9130.1,20.209,18.752
9173.1,19.268,19.359
9216.2,17.475,19.243
9259.3,17.098,20.219
9302.3,19.133,19.87
9345.4,19.346,18.416
9388.5,18.545,17.531
9431.5,18.774,18.442
9474.6,17.035,17.45
9517.7,18.645,19.442
9560.7,19.963,21.991
9603.8,19.521,25.304
9646.9,19.304,21.677
9689.9,21.005,23.062
9733,20.65,23.74
9776.1,18.683,24.373
9819.1,17.731,25.656
9862.2,19.325,23.288
9905.3,20.727,22.527
9948.3,19.668,20.919
9991.4,15.735,22.543
10034,17.001,22.08
10078,20.758,20.867
10121,20.323,20.146
10164,18.74,21.612
10207,17.64,20.013
10250,18.583,19.441
10293,21.482,21.585
10336,19,20.211
10379,19.163,21.178
10422,19.483,19.907
10465,16.839,19.228
10508,16.346,20.682
10551,18.109,22.057
10594,17.497,20.734
10637,20.823,21.072
10680,20.265,19.61
10724,18.802,20.153
10767,17.948,18.993
10810,18.439,21.266
10853,18.383,20.013
10896,20.407,18.391
10939,22.999,19.269
10982,21.982,19.783
11025,19.19,21.407
11068,17.88,20.746
11111,17.138,19.488
