FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,74.157,74.457
86.133,73.108,73.601
129.2,73.595,74.065
172.27,73.911,74.409
215.33,73.151,73.647
258.4,66.324,66.999
301.46,95.125,95.781
344.53,113.9,114.54
387.6,114.8,115.45
430.66,99.175,99.817
473.73,67.873,68.323
516.8,72.878,73.645
559.86,73.883,74.589
602.93,73.325,74.055
646,72.541,73.292
689.06,74.087,77.96
732.13,81.32,86.467
775.2,76.084,81.11
818.26,69.535,70.327
861.33,68.86,69.586
904.39,68.188,68.924
947.46,67.697,68.546
990.53,67.139,67.914
1033.6,66.434,67.26
1076.7,74.856,76.381
1119.7,76.268,78.044
1162.8,68.161,69.37
1205.9,65.002,65.72
1248.9,64.607,65.339
1292,64.165,64.955
1335.1,63.775,64.62
1378.1,63.45,64.219
1421.2,65.991,67.155
1464.3,75.858,77.6
1507.3,72.111,73.729
1550.4,62.427,63.373
1593.5,62.062,62.805
1636.5,61.735,62.559
1679.6,61.49,62.204
1722.7,61.238,62.03
1765.7,61.024,61.801
1808.8,67.087,66.314
1851.9,70.778,69.774
1894.9,63.247,63.109
1938,60.129,60.848
1981.1,59.877,60.665
2024.1,59.725,60.516
2067.2,59.5,60.252
2110.3,59.343,60.137
2153.3,59.596,60.63
2196.4,61.847,62.697
2239.5,62.212,63.868
2282.5,58.524,59.24
2325.6,58.426,59.168
2368.7,58.247,59.081
2411.7,58.121,58.919
2454.8,57.932,58.729
2497.9,57.801,58.556
2540.9,59.371,59.257
2584,64.171,62.866
2627.1,58.57,58.688
2670.1,57.161,57.927
2713.2,57.058,57.804
2756.3,56.929,57.737
2799.3,56.724,57.502
2842.4,56.647,57.482
2885.4,56.523,57.344
2928.5,56.961,57.018
2971.6,57.609,58.368
3014.6,56.066,56.819
3057.7,55.973,56.721
3100.8,55.854,56.642
3143.8,55.722,56.545
3186.9,55.647,56.376
3230,55.493,56.277
3273,55.341,56.299
3316.1,55.332,55.972
3359.2,55.132,56.017
3402.2,55.042,55.854
3445.3,54.903,55.688
3488.4,54.808,55.589
3531.4,54.764,55.493
3574.5,54.546,55.331
3617.6,54.444,55.255
3660.6,55.303,55.707
3703.7,53.831,54.757
3746.8,54.467,55.118
3789.8,54.027,54.827
3832.9,54.034,54.776
3876,53.87,54.643
3919,53.741,54.558
3962.1,53.699,54.477
4005.2,53.63,54.626
4048.2,54.875,55.028
4091.3,53.615,55.02
4134.4,53.338,54.029
4177.4,53.189,54.017
4220.5,53.158,53.902
4263.6,53.067,53.782
4306.6,53.001,53.787
4349.7,52.958,53.766
4392.8,54.216,56.943
4435.8,56.818,60.712
4478.9,52.79,53.807
4522,52.583,53.361
4565,52.44,53.128
4608.1,52.404,53.197
4651.2,52.303,53.033
4694.2,52.247,53.066
4737.3,52.931,55.547
4780.4,55.396,62.707
4823.4,55.77,61.796
4866.5,51.927,52.354
4909.6,51.854,52.632
4952.6,51.854,52.625
4995.7,51.677,52.466
5038.8,51.69,52.459
5081.8,51.615,52.354
5124.9,52.884,57.945
5168,56.828,63.5
5211,51.993,55.442
5254.1,51.258,52.016
5297.2,51.306,51.855
5340.2,51.15,51.913
5383.3,51.179,51.959
5426.4,50.986,51.813
5469.4,50.703,53.331
5512.5,53.909,53.521
5555.6,50.405,59.056
5598.6,50.962,50.394
5641.7,50.867,51.565
5684.8,50.557,51.445
5727.8,50.557,51.521
5770.9,50.483,51.259
5814,50.473,51.385
5857,50.377,54.107
5900.1,50.875,58.774
5943.2,50.433,54.15
5986.2,50.203,51.063
6029.3,50.05,50.905
6072.4,50.204,50.919
6115.4,49.997,50.75
6158.5,49.927,50.838
6201.6,49.928,51.838
6244.6,51.165,52.911
6287.7,49.554,58.757
6330.8,49.864,49.281
6373.8,49.74,50.45
6416.9,49.738,50.55
6460,49.599,50.514
6503,49.491,50.523
6546.1,49.498,50.258
6589.2,49.405,54.024
6632.2,52.97,59.92
6675.3,49.987,56.373
6718.4,49.137,50.247
6761.4,49.512,49.876
6804.5,49.35,50.156
6847.6,48.879,50.016
6890.6,48.904,49.913
6933.7,49.064,50.006
6976.8,50.372,52.596
7019.8,50.498,56.317
7062.9,49.093,49.593
7106,48.884,49.64
7149,48.875,49.653
7192.1,48.629,49.674
7235.2,48.632,49.429
7278.2,48.58,49.652
7321.3,48.897,50.072
7364.4,49.736,51.144
7407.4,49.734,51.634
7450.5,48.377,49.251
7493.6,48.419,49.302
7536.6,48.388,49.232
7579.7,48.318,49.006
7622.8,48.126,49.373
7665.8,48.363,49.059
7708.9,48.12,49.077
7752,49.371,50.88
7795,47.927,49.028
7838.1,48.162,48.993
7881.2,47.883,48.673
7924.2,47.931,48.983
7967.3,47.959,48.755
8010.4,47.836,48.749
8053.4,48.026,48.841
8096.5,47.461,47.877
8139.6,48.483,49.702
8182.6,47.77,48.246
8225.7,47.568,48.557
8268.8,47.594,48.673
8311.8,47.589,48.344
8354.9,47.627,48.434
8397.9,47.439,48.346
8441,47.641,48.308
8484.1,47.619,48.411
8527.1,47.263,48.267
8570.2,47.547,48.071
8613.3,47.243,48.219
8656.3,47.27,48.09
8699.4,47.271,48.259
8742.5,47.25,47.993
8785.5,47,47.957
8828.6,47.519,48.05
8871.7,46.914,47.905
8914.7,47.117,48.067
8957.8,46.978,47.817
9000.9,46.895,47.846
9043.9,46.943,47.658
9087,47.018,48.042
9130.1,46.814,47.512
9173.1,46.935,47.646
9216.2,47.021,47.826
9259.3,46.557,47.713
9302.3,46.856,47.566
9345.4,46.714,47.462
9388.5,46.696,47.551
9431.5,46.707,47.622
9474.6,46.476,47.317
9517.7,46.652,47.318
9560.7,46.613,47.791
9603.8,46.827,47.162
9646.9,46.463,47.226
9689.9,46.511,47.366
9733,46.305,47.334
9776.1,46.445,47.127
9819.1,46.231,47.206
9862.2,46.333,47.076
9905.3,46.502,47.056
9948.3,47.014,47.286
9991.4,47.211,47.045
10034,46.034,47.006
10078,46.084,46.983
10121,46.165,46.951
10164,46.293,47.123
10207,45.8,46.738
10250,46.113,47.038
10293,46.438,46.895
10336,47.731,46.686
10379,45.943,47.049
10422,45.89,46.553
10465,45.901,46.761
10508,45.859,46.739
10551,45.964,46.549
10594,45.572,46.712
10637,46.199,46.638
10680,46.07,46.534
10724,47.209,46.707
10767,45.633,46.616
10810,45.619,46.477
10853,45.771,46.468
10896,45.54,46.453
10939,45.553,46.399
10982,45.482,46.519
11025,45.901,46.464
11068,45.808,46.247
11111,45.564,46.18
11154,45.411,46.611
11197,45.549,46.081
11240,45.252,46.298
11283,45.523,46.159
11326,45.265,46.288
11370,45.393,46.095
11413,45.656,46.898
11456,45.276,45.073
11499,45.253,46.441
11542,45.374,46.146
11585,45.199,45.969
11628,45.071,45.849
11671,44.984,46.03
11714,45.402,46.11
11757,45.161,45.738
11800,45.414,46.61
11843,44.947,45.678
11886,45.161,45.968
11929,45.005,45.79
11972,44.86,45.89
12016,45.03,45.85
12059,45.005,45.721
12102,44.799,45.693
12145,45.651,46.777
12188,44.021,45.441
12231,45.039,45.758
12274,44.812,45.771
12317,44.777,45.68
12360,44.738,45.388
12403,44.765,45.772
12446,44.861,45.536
12489,44.546,45.202
12532,44.873,46.941
12575,44.673,45.435
12618,44.69,45.649
12662,44.467,45.339
12705,44.729,45.289
12748,44.54,45.478
12791,44.582,45.358
12834,44.48,45.491
12877,44.516,45.796
12920,44.389,45.934
12963,44.628,45.627
13006,44.442,45.156
13049,44.439,45.445
13092,44.351,45.249
13135,44.352,45.096
13178,44.573,45.413
13221,44.225,44.907
13264,44.516,45.578
13308,44.423,45.651
13351,44.281,44.826
