FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,68.389,68.675
86.133,67.283,67.767
129.2,96.091,96.356
172.27,108.38,108.64
215.33,105.24,105.5
258.4,81.305,81.572
301.46,81.49,82.128
344.53,100.21,100.85
387.6,101.05,101.69
430.66,85.48,86.113
473.73,64.048,64.423
516.8,67.225,69.16
559.86,71.938,74.073
602.93,64.258,65.641
646,62.111,62.491
689.06,81.658,82.534
732.13,91.203,92.084
775.2,85.582,86.463
818.26,61.037,61.58
861.33,59.431,59.792
904.39,61.125,61.209
947.46,60.3,60.389
990.53,57.576,57.964
1033.6,61.047,61.391
1076.7,82.832,83.215
1119.7,85.243,85.642
1162.8,72.66,73.028
1205.9,56.251,56.679
1248.9,54.942,56.444
1292,55.958,58.216
1335.1,54.248,55.563
1378.1,54.21,54.482
1421.2,71.696,73.439
1464.3,83.256,85.134
1507.3,79.533,81.345
1550.4,56.697,58.352
1593.5,52.592,52.696
1636.5,59.259,59.892
1679.6,58.442,58.551
1722.7,52.748,53.144
1765.7,51.516,51.76
1808.8,71.324,71.294
1851.9,75.309,75.292
1894.9,65.258,65.241
1938,51.199,51.35
1981.1,50.456,50.709
2024.1,52.432,52.681
2067.2,50.306,50.583
2110.3,50.07,50.309
2153.3,54.299,55.239
2196.4,65.502,66.955
2239.5,63.936,65.317
2282.5,49.772,50.262
2325.6,49.105,49.35
2368.7,49.694,49.61
2411.7,50.163,49.218
2454.8,48.769,49.045
2497.9,48.786,49.017
2540.9,59.214,57.195
2584,65.809,63.738
2627.1,56.873,55.01
2670.1,47.89,48.216
2713.2,48.364,48.361
2756.3,48.481,50.138
2799.3,48.925,48.587
2842.4,47.394,47.792
2885.4,48.004,47.976
2928.5,52.242,52.074
2971.6,53.29,52.939
3014.6,46.847,47.194
3057.7,46.861,47.15
3100.8,46.672,46.825
3143.8,46.779,47.442
3186.9,46.518,46.712
3230,46.517,46.721
3273,46.257,46.637
3316.1,46.483,48.52
3359.2,46.122,46.432
3402.2,46.052,46.271
3445.3,45.782,46.21
3488.4,45.776,46.049
3531.4,45.522,45.796
3574.5,45.677,45.821
3617.6,45.377,45.657
3660.6,48.008,47.318
3703.7,47.704,47.123
3746.8,45.376,45.545
3789.8,45.041,45.278
3832.9,44.631,45.122
3876,45.418,45.543
3919,44.596,45.182
3962.1,44.644,44.772
4005.2,45.817,45.795
4048.2,48.325,50.652
4091.3,47.154,47.426
4134.4,44.276,44.635
4177.4,44.057,44.502
4220.5,43.984,44.485
4263.6,44.445,45.018
4306.6,43.895,44.103
4349.7,44.446,44.835
4392.8,48.488,54.73
4435.8,54.454,58.308
4478.9,42.726,47.163
4522,43.642,44.202
4565,43.565,44.74
4608.1,43.712,45.439
4651.2,43.634,44.92
4694.2,43.116,43.583
4737.3,44.61,48.678
4780.4,53.041,61.443
4823.4,50.131,57.814
4866.5,43.233,44.252
4909.6,42.825,43.416
4952.6,43.749,50.588
4995.7,42.859,51.171
5038.8,42.908,43.729
5081.8,42.632,42.782
5124.9,48.641,55.125
5168,52.179,59.621
5211,45.405,50.72
5254.1,42.594,42.546
5297.2,42.289,43.44
5340.2,42.739,46.007
5383.3,42.453,44.3
5426.4,42.308,42.052
5469.4,41.354,43.254
