FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,75.253,75.929
86.133,74.422,75.014
129.2,74.735,75.346
172.27,74.984,75.599
215.33,74.201,74.833
258.4,65.664,66.328
301.46,95.236,95.898
344.53,113.88,114.54
387.6,114.64,115.3
430.66,98.879,99.536
473.73,68.568,69.139
516.8,71.82,72.496
559.86,72.946,73.673
602.93,72.387,73.073
646,71.559,72.261
689.06,71.588,76.42
732.13,73.334,83.37
775.2,71.189,78.632
818.26,68.235,68.974
861.33,67.615,68.339
904.39,67.052,67.608
947.46,66.355,67.317
990.53,65.719,66.466
1033.6,65.317,65.832
1076.7,69.53,70.762
1119.7,68.676,70.073
1162.8,64.999,65.842
1205.9,63.587,64.255
1248.9,63.059,63.858
1292,62.652,63.46
1335.1,62.383,63.069
1378.1,61.985,62.748
1421.2,61.698,62.459
1464.3,62.083,62.435
1507.3,61.139,62.029
1550.4,60.803,61.529
1593.5,60.488,61.225
1636.5,60.201,60.948
1679.6,59.962,60.709
1722.7,59.676,60.426
1765.7,59.455,60.207
1808.8,59.197,60.009
1851.9,59.617,59.675
1894.9,58.69,59.515
1938,58.58,59.327
1981.1,58.324,59.07
2024.1,58.086,58.838
2067.2,57.948,58.701
2110.3,57.733,58.458
2153.3,57.484,58.299
2196.4,57.583,58.189
2239.5,57.036,57.821
2282.5,57.047,57.758
2325.6,56.798,57.609
2368.7,56.558,57.296
2411.7,56.526,57.281
2454.8,56.26,57.005
2497.9,56.147,56.922
2540.9,55.973,56.699
2584,56.092,56.774
2627.1,55.599,56.377
2670.1,55.538,56.274
2713.2,55.376,56.167
2756.3,55.245,55.963
2799.3,55.06,55.849
2842.4,54.987,55.713
2885.4,54.767,55.577
2928.5,54.905,55.427
2971.6,54.383,55.342
3014.6,54.447,55.148
3057.7,54.286,55.066
3100.8,54.162,54.955
3143.8,54.051,54.738
3186.9,53.952,54.773
3230,53.797,54.52
3273,53.724,54.467
3316.1,53.561,54.347
3359.2,53.421,54.2
3402.2,53.393,54.097
3445.3,53.205,53.983
3488.4,53.084,53.906
3531.4,53.139,53.747
3574.5,52.793,53.692
3617.6,52.857,53.532
3660.6,52.669,53.42
3703.7,52.613,53.396
3746.8,52.469,53.234
3789.8,52.376,53.117
3832.9,52.341,53.106
3876,52.184,52.895
3919,52.057,52.923
3962.1,52.023,52.718
4005.2,51.922,52.742
4048.2,51.802,52.51
4091.3,51.676,52.508
4134.4,51.679,52.393
4177.4,51.538,52.304
4220.5,51.474,52.15
4263.6,51.373,52.211
4306.6,51.211,52.018
4349.7,51.314,51.907
4392.8,50.989,51.989
4435.8,51.087,51.65
4478.9,50.922,51.783
4522,50.896,51.583
4565,50.772,51.492
4608.1,50.728,51.487
4651.2,50.625,51.424
4694.2,50.492,51.226
4737.3,50.547,51.263
4780.4,50.328,51.179
4823.4,50.371,51.073
4866.5,50.142,50.954
4909.6,50.151,50.965
4952.6,50.15,50.906
4995.7,49.933,50.679
5038.8,49.963,50.755
5081.8,49.914,50.599
5124.9,49.767,50.544
5168,49.756,50.483
5211,49.672,50.38
5254.1,49.56,50.455
5297.2,49.551,50.2
5340.2,49.365,50.214
5383.3,49.378,50.113
5426.4,49.416,50.024
5469.4,49.286,50.04
5512.5,49.022,49.955
5555.6,49.228,49.906
5598.6,49.092,49.763
5641.7,48.941,49.808
5684.8,48.899,49.586
5727.8,48.852,49.67
5770.9,48.853,49.525
5814,48.715,49.543
5857,48.736,49.417
5900.1,48.544,49.412
5943.2,48.589,49.296
5986.2,48.596,49.17
6029.3,48.334,49.281
6072.4,48.489,49.135
6115.4,48.241,49.073
6158.5,48.345,49.069
6201.6,48.292,48.923
6244.6,47.984,48.904
6287.7,48.134,48.974
6330.8,48.201,48.729
6373.8,48.077,48.69
6416.9,47.772,48.858
6460,48.153,48.535
6503,47.92,48.559
6546.1,47.467,48.535
6589.2,48.173,48.569
6632.2,47.846,48.343
6675.3,47.362,48.515
6718.4,47.853,48.192
6761.4,47.805,48.279
6804.5,47.285,48.292
6847.6,47.575,48.138
6890.6,47.514,48.077
6933.7,47.063,48.125
6976.8,47.404,47.947
7019.8,47.21,48.025
7062.9,47.07,47.871
7106,47.264,47.934
7149,47.036,47.863
7192.1,46.915,47.705
7235.2,47.048,47.738
7278.2,46.826,47.715
7321.3,46.876,47.505
7364.4,46.83,47.734
7407.4,46.773,47.387
7450.5,46.763,47.49
7493.6,46.571,47.506
7536.6,46.742,47.505
7579.7,46.643,47.201
7622.8,46.42,47.457
7665.8,46.644,47.19
7708.9,46.518,47.254
7752,46.289,47.183
7795,46.393,47.209
7838.1,46.371,47.105
7881.2,46.291,46.972
7924.2,46.16,47.067
7967.3,46.308,46.976
8010.4,46.119,47.046
8053.4,46.054,46.895
8096.5,46.17,46.768
8139.6,46.02,46.645
8182.6,46.081,46.843
8225.7,45.88,46.764
8268.8,45.887,46.707
8311.8,45.865,46.676
8354.9,45.998,46.62
8397.9,45.794,46.453
8441,45.737,46.545
8484.1,45.742,46.548
8527.1,45.633,46.391
8570.2,45.68,46.508
8613.3,45.649,46.25
8656.3,45.64,46.384
8699.4,45.369,46.3
8742.5,45.48,46.17
8785.5,45.761,46.365
8828.6,45.374,46.011
8871.7,45.255,46.177
8914.7,45.655,46.309
8957.8,45.133,45.941
9000.9,45.268,45.858
9043.9,45.425,46.253
9087,45.233,45.818
9130.1,45.062,45.989
9173.1,45.102,45.899
9216.2,45.318,45.763
9259.3,44.853,45.847
9302.3,45.088,45.804
9345.4,44.957,45.7
9388.5,45.076,45.803
9431.5,44.881,45.584
9474.6,44.873,45.7
9517.7,44.809,45.547
9560.7,44.827,45.757
9603.8,44.866,45.446
9646.9,44.774,45.463
9689.9,44.792,45.547
9733,44.561,45.385
9776.1,44.674,45.487
9819.1,44.608,45.328
9862.2,44.666,45.369
9905.3,44.617,45.465
9948.3,44.382,45.217
9991.4,44.598,45.167
10034,44.493,45.492
10078,44.438,45.083
10121,44.303,45.08
10164,44.579,45.233
10207,44.177,45.042
10250,44.36,45.095
10293,44.304,45.117
10336,44.326,44.967
10379,44.143,44.979
10422,44.273,45.034
10465,44.187,44.936
10508,44.219,45.008
10551,44.04,44.811
10594,44.01,44.798
10637,44.12,44.876
10680,43.989,44.79
10724,43.995,44.625
10767,44.029,44.789
10810,43.905,44.745
10853,43.944,44.816
10896,44.063,44.436
10939,43.619,44.764
10982,43.954,44.594
11025,43.827,44.558
11068,43.816,44.59
11111,43.649,44.537
11154,43.733,44.373
11197,43.971,44.73
11240,43.367,44.258
11283,43.656,44.417
11326,43.759,44.53
11370,43.642,44.298
11413,43.436,44.209
11456,43.718,44.384
11499,43.423,44.333
11542,43.505,44.153
11585,43.577,44.393
11628,43.405,44.214
11671,43.38,43.987
11714,43.327,44.324
11757,43.537,44.12
11800,43.314,44.128
11843,43.414,43.961
11886,43.241,44.234
11929,43.294,43.955
11972,43.335,44.048
12016,43.173,43.9
12059,43.338,44.033
12102,43.114,43.992
12145,43.177,44.036
12188,43.128,43.741
12231,43.077,43.957
12274,43.079,43.917
12317,43.211,43.59
12360,43.024,44.152
12403,42.954,43.539
12446,43.092,43.822
12489,43.114,43.896
12532,42.922,43.617
12575,42.777,43.684
12618,43.105,43.78
12662,42.884,43.765
12705,42.804,43.523
12748,42.974,43.77
12791,42.837,43.502
12834,42.684,43.654
12877,42.959,43.523
12920,42.827,43.506
12963,42.804,43.673
13006,42.738,43.246
13049,42.718,43.73
13092,42.663,43.359
13135,42.624,43.334
13178,42.747,43.471
13221,42.526,43.487
13264,42.851,43.285
13308,42.495,43.483
13351,42.589,43.497
13394,42.557,43.054
13437,42.556,43.359
13480,42.661,43.314
13523,42.385,43.347
13566,42.451,43.148
13609,42.617,43.334
13652,42.281,43.284
13695,42.702,43.053
13738,42.085,43.111
13781,42.715,43.393
13824,42.19,43.093
13867,42.538,43.188
13910,42.307,43.102
13954,42.397,43.018
13997,42.237,43
14040,42.242,43.113
14083,42.324,42.951
14126,42.223,42.971
14169,42.053,43.141
14212,42.49,42.905
14255,42.23,42.961
14298,42.078,43.08
14341,42.422,42.833
14384,41.861,42.959
14427,42.377,42.98
14470,42.122,42.882
14513,42.107,43.063
14556,42.15,42.793
14600,42.232,42.749
14643,41.761,42.876
14686,42.443,42.893
14729,41.794,42.609
14772,42.027,42.961
14815,42.175,42.723
14858,41.845,42.689
14901,41.916,42.851
14944,42.043,42.761
14987,41.884,42.539
15030,42.226,42.881
15073,41.703,42.667
15116,41.944,42.426
15159,41.975,42.836
15202,41.758,42.604
15246,41.983,42.783
15289,41.848,42.509
15332,41.899,42.552
15375,41.72,42.654
15418,41.86,42.539
15461,41.992,42.639
15504,41.554,42.312
15547,41.797,42.685
15590,41.873,42.458
15633,41.764,42.612
15676,41.527,42.54
15719,41.934,42.303
15762,41.522,42.617
15805,41.977,42.335
15848,41.296,42.414
15892,41.804,42.507
15935,41.701,42.254
15978,41.747,42.469
16021,41.458,42.444
16064,41.789,42.587
16107,41.441,42.004
16150,41.729,42.48
16193,41.64,42.359
16236,41.366,42.293
16279,41.646,42.404
16322,41.584,42.162
16365,41.629,42.296
16408,41.548,42.628
16451,41.393,41.973
16494,41.662,42.414
16538,41.416,42.135
16581,41.463,42.193
16624,41.433,42.374
16667,41.797,42.035
16710,41.08,42.217
16753,41.681,42.282
16796,41.334,42.183
