FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,74.332,75.2
86.133,73.381,74.159
129.2,73.777,74.615
172.27,74.147,74.936
215.33,73.317,74.103
258.4,66.415,66.964
301.46,95.628,96.205
344.53,114.09,114.68
387.6,114.82,115.41
430.66,98.931,99.534
473.73,67.257,68.055
516.8,73.086,73.522
559.86,73.907,74.37
602.93,73.456,73.931
646,72.706,73.15
689.06,74.536,78.172
732.13,81.392,86.524
775.2,76.124,80.799
818.26,69.596,70.049
861.33,68.941,69.33
904.39,68.286,68.766
947.46,67.769,68.181
990.53,67.312,67.676
1033.6,67.174,67.683
1076.7,73.999,75.314
1119.7,76.968,78.228
1162.8,66.411,67.146
1205.9,65.022,65.405
1248.9,64.733,65.129
1292,64.319,64.767
1335.1,64.009,64.377
1378.1,63.725,64.106
1421.2,66.817,68.301
1464.3,75.698,77.628
1507.3,71.622,73.551
1550.4,62.599,63.016
1593.5,62.202,62.562
1636.5,61.942,62.38
1679.6,61.69,62.037
1722.7,61.454,61.81
1765.7,61.125,61.519
1808.8,67.847,67.061
1851.9,70.311,69.29
1894.9,62.997,62.788
1938,60.301,60.695
1981.1,60.093,60.443
2024.1,59.886,60.266
2067.2,59.661,60.068
2110.3,59.484,59.856
2153.3,59.735,60.145
2196.4,62.711,63.829
2239.5,61.69,62.467
2282.5,58.761,59.154
2325.6,58.61,58.975
2368.7,58.407,58.812
2411.7,58.238,58.568
2454.8,58.145,58.52
2497.9,57.956,58.318
2540.9,60.509,59.862
2584,63.634,62.254
2627.1,58.726,58.623
2670.1,57.374,57.697
2713.2,57.216,57.554
2756.3,57.001,57.451
2799.3,56.936,57.266
2842.4,56.78,57.137
2885.4,56.572,57.106
2928.5,58.037,57.408
2971.6,56.949,57.648
3014.6,56.334,56.591
3057.7,56.083,56.5
3100.8,56.003,56.386
3143.8,55.864,56.232
3186.9,55.788,56.163
3230,55.625,55.969
3273,55.504,55.925
3316.1,55.443,55.95
3359.2,55.31,55.66
3402.2,55.163,55.583
3445.3,55.108,55.422
3488.4,54.917,55.364
3531.4,54.885,55.198
3574.5,54.685,55.151
3617.6,54.7,54.804
3660.6,54.755,56.462
3703.7,55.08,52.964
3746.8,54.366,55.069
3789.8,54.208,54.563
3832.9,54.128,54.495
3876,53.999,54.388
3919,54.051,54.333
3962.1,53.8,54.154
4005.2,53.883,54.357
4048.2,54.842,55.224
4091.3,53.939,54.321
4134.4,53.514,53.82
4177.4,53.306,53.795
4220.5,53.383,53.672
4263.6,53.152,53.547
4306.6,53.143,53.514
4349.7,53.205,53.21
4392.8,54.481,58.672
4435.8,56.66,58.948
4478.9,52.657,53.825
4522,52.719,53.045
4565,52.665,53.003
4608.1,52.579,52.942
4651.2,52.465,52.771
4694.2,52.493,52.833
4737.3,52.725,55.404
4780.4,56.85,63.299
4823.4,53.951,58.964
4866.5,52.121,52.5
4909.6,52.013,52.459
4952.6,51.955,52.187
4995.7,51.815,52.201
5038.8,51.844,52.199
5081.8,51.714,51.989
5124.9,54.77,60.215
5168,55.611,62.357
5211,52.177,54.336
5254.1,51.298,51.773
5297.2,51.53,51.704
5340.2,51.263,51.678
5383.3,51.232,51.521
5426.4,51.143,51.52
5469.4,51.281,52.447
5512.5,52.713,57.788
5555.6,51.925,55.774
5598.6,50.839,51.274
5641.7,50.815,51.188
5684.8,50.866,51.154
5727.8,50.59,51.006
5770.9,50.646,50.984
5814,50.707,51.032
5857,50.647,55.19
5900.1,50.879,58.738
5943.2,50.5,52.337
5986.2,50.4,50.657
6029.3,50.205,50.675
6072.4,50.341,50.593
6115.4,50.129,50.49
6158.5,50.186,50.489
6201.6,50.031,51.173
6244.6,50.697,57.071
6287.7,50.677,55.742
6330.8,49.789,50.38
6373.8,49.952,50.202
6416.9,49.677,50.137
6460,49.874,50.019
6503,49.591,50.044
6546.1,49.478,49.979
6589.2,50.717,55.358
6632.2,52.303,60.368
6675.3,50.203,53.653
6718.4,49.401,49.698
6761.4,49.335,49.657
6804.5,49.23,49.639
6847.6,49.342,49.57
6890.6,49.302,49.662
6933.7,49.39,50.477
6976.8,48.508,52.783
7019.8,52.119,56.026
7062.9,48.672,48.955
7106,48.889,49.278
7149,49.05,49.419
7192.1,48.766,49.182
7235.2,48.962,49.277
7278.2,48.795,49.179
7321.3,49.162,49.915
7364.4,50.264,52.237
7407.4,48.963,49.834
7450.5,48.616,49.086
7493.6,48.655,48.818
7536.6,48.537,48.939
7579.7,48.398,48.87
7622.8,48.396,48.79
7665.8,48.513,48.718
7708.9,48.393,49.234
7752,49.495,50.654
7795,48.089,48.358
7838.1,48.257,48.565
7881.2,48.178,48.668
7924.2,48.115,48.265
7967.3,48.076,48.552
8010.4,48.021,48.412
8053.4,48.017,48.314
8096.5,48.512,48.816
8139.6,47.919,48.361
8182.6,47.958,48.268
8225.7,47.815,48.114
8268.8,47.76,48.226
8311.8,47.742,48.074
8354.9,47.679,48.122
8397.9,47.807,48.028
8441,47.606,48.163
8484.1,47.871,47.831
8527.1,47.624,47.901
8570.2,47.512,47.882
8613.3,47.364,47.756
8656.3,47.502,47.959
8699.4,47.388,47.647
8742.5,47.411,47.789
8785.5,47.288,47.633
8828.6,47.312,47.518
8871.7,47.336,47.745
8914.7,47.17,47.488
8957.8,47.246,47.607
9000.9,47.105,47.396
9043.9,47.092,47.675
9087,47.134,47.234
9130.1,46.996,47.581
9173.1,47.032,47.224
9216.2,47.006,47.276
9259.3,47.045,47.407
9302.3,46.78,47.154
9345.4,46.971,47.319
9388.5,46.818,47.119
9431.5,46.718,47.146
9474.6,46.769,47.125
9517.7,46.849,47.013
9560.7,46.57,47.263
9603.8,46.959,46.985
9646.9,46.695,46.986
9689.9,46.572,46.967
9733,46.562,46.966
9776.1,46.597,46.802
9819.1,46.492,46.817
9862.2,46.391,46.862
9905.3,46.934,46.775
9948.3,47.363,46.827
9991.4,46.574,46.605
10034,46.348,46.853
10078,46.429,46.61
10121,46.106,46.702
10164,46.463,46.605
10207,46.084,46.457
10250,46.472,46.586
10293,46.363,46.668
10336,47.659,46.497
10379,46.041,46.317
10422,46.107,46.566
10465,46.053,46.381
10508,46.018,46.326
10551,46.083,46.486
10594,45.828,46.269
10637,46.527,46.279
10680,47.381,46.432
10724,46.14,46.125
10767,45.795,46.372
10810,45.875,46.106
10853,45.859,46.147
10896,45.782,46.207
10939,45.674,45.922
10982,45.56,46.119
11025,46.844,46.082
11068,44.929,46.072
11111,45.763,45.857
11154,45.593,46.071
11197,45.624,45.956
11240,45.546,45.907
11283,45.468,45.741
11326,45.489,46.001
11370,45.511,45.808
11413,45.839,45.926
11456,45.606,45.899
11499,45.263,45.88
11542,45.451,45.48
11585,45.374,45.826
11628,45.214,45.652
11671,45.357,45.689
11714,45.355,45.633
11757,44.589,45.498
11800,46.201,46.313
11843,44.955,45.275
11886,45.355,45.695
11929,45.01,45.395
11972,45.171,45.503
12016,45.138,45.534
12059,45.013,45.306
12102,45.131,45.524
12145,45.428,46.318
12188,45.097,45.595
12231,44.906,45.238
12274,45.029,45.535
12317,44.821,45.17
12360,45.139,45.308
12403,44.927,45.346
12446,44.766,45.248
12489,45.297,46.025
12532,44.493,45.636
12575,44.927,45.477
12618,44.728,45.052
12662,45.035,45.18
12705,44.63,45.192
12748,44.727,45.097
12791,44.635,44.97
12834,44.698,45.274
12877,44.697,45.282
12920,44.643,45.981
12963,44.707,44.962
13006,44.668,44.883
13049,44.675,44.98
13092,44.533,44.956
13135,44.464,44.932
13178,44.699,44.92
13221,44.682,44.762
13264,44.411,45.668
13308,44.722,44.666
13351,44.382,45.033
13394,44.314,44.665
13437,44.614,44.83
13480,44.381,44.692
13523,44.13,44.688
13566,44.644,44.954
13609,44.75,44.409
13652,44.238,45.036
13695,44.535,44.519
13738,44.179,44.714
13781,44.345,44.584
13824,44.309,44.68
13867,44.156,44.407
13910,44.337,44.876
13954,44.174,44.408
13997,44.576,44.591
14040,44.328,44.565
14083,44.208,44.436
14126,44.179,44.583
14169,43.964,44.315
14212,44.181,44.573
14255,44.103,44.581
14298,43.978,44.345
14341,44.762,44.381
14384,43.594,44.262
14427,44.266,44.622
14470,43.875,44.225
14513,44.19,44.563
14556,43.832,44.138
14600,44.032,44.553
14643,43.984,44.072
14686,43.76,44.422
14729,44.237,44.177
14772,43.967,44.31
14815,43.902,44.124
14858,43.763,44.442
14901,43.913,44.032
14944,43.765,44.31
14987,43.687,44.041
15030,44.223,44.325
15073,43.16,44.044
15116,44.336,44.024
15159,43.63,44.28
15202,43.873,44.095
15246,43.604,44.205
15289,43.816,44.003
15332,43.622,43.86
15375,44.016,44.451
15418,43.25,43.782
15461,43.958,44.213
15504,43.567,43.807
15547,43.587,44.148
15590,43.627,44.192
15633,43.77,43.66
15676,43.418,44.111
15719,43.822,44.07
15762,43.341,43.812
15805,43.58,43.828
15848,43.797,44.124
15892,43.437,43.893
15935,43.545,43.909
15978,43.635,43.717
16021,43.507,44.101
16064,43.335,43.721
16107,43.517,43.773
16150,43.332,43.932
16193,43.728,43.867
16236,43.472,43.633
16279,43.367,43.878
16322,43.508,43.704
16365,43.198,43.59
16408,43.434,43.998
16451,43.409,43.642
16494,43.547,43.651
16538,43.315,43.9
16581,43.366,43.759
16624,43.576,43.683
16667,43.241,43.642
16710,43.207,43.686
16753,43.387,43.519
16796,43.229,43.778
16839,43.32,43.505
16882,43.278,43.867
16925,43.396,43.618
16968,43.286,43.392
17011,43.184,43.742
17054,43.368,43.532
17097,43.241,43.682
17140,43.253,43.532
17183,43.214,43.542
17227,43.118,43.647
17270,43.104,43.292
17313,43.356,43.837
17356,43.243,43.24
17399,43.102,43.49
17442,43.211,43.646
17485,42.967,43.386
17528,43.339,43.68
17571,43.117,43.368
17614,42.977,43.372
17657,42.821,43.344
17700,43.71,43.791
17743,42.969,43.229
17786,43.046,43.563
17829,43.188,43.455
17873,42.944,43.227
17916,43.258,43.519
17959,42.74,43.519
18002,43.151,43.302
18045,43.167,43.453
18088,42.858,43.289
18131,43.187,43.373
18174,42.781,43.357
18217,43.082,43.364
18260,42.958,43.304
18303,43.075,43.356
18346,42.943,43.364
18389,43.322,43.637
18432,42.657,43.063
18475,43.032,43.311
18519,42.96,43.402
18562,42.879,43.227
18605,42.991,43.17
18648,42.877,43.575
18691,42.795,43.004
18734,43.141,43.417
18777,42.946,43.286
18820,42.816,43.249
18863,42.679,43.391
18906,43.097,43.229
18949,42.809,43.423
18992,43.061,43.114
19035,42.776,43.349
19078,42.868,43.101
19121,42.505,43.158
19165,43.275,43.379
19208,43.068,43.377
19251,42.753,43.018
19294,42.674,43.186
19337,42.925,43.366
19380,42.847,43.202
19423,42.802,43.278
19466,42.908,42.974
19509,42.718,43.277
19552,42.918,43.195
19595,42.931,43.268
19638,42.906,43.008
19681,42.751,43.18
19724,42.684,43.239
19767,42.929,43.291
19811,42.812,42.951
19854,42.726,43.237
19897,42.863,43.217
19940,42.73,43.122
19983,42.701,43.263
20026,42.77,42.707
20069,42.658,43.523
20112,43.047,43.097
20155,42.671,43.115
20198,42.675,42.88
20241,42.817,43.276
20284,42.948,43.114
20327,42.616,43.073
20370,42.863,43.028
20413,42.569,43.047
20457,42.975,43.163
20500,42.541,43.187
20543,42.738,43.029
20586,42.82,43.159
20629,42.77,43.152
20672,42.554,42.69
20715,42.746,43.298
20758,42.861,43.033
20801,42.629,43.158
20844,42.761,42.902
20887,42.57,43.267
20930,42.775,42.855
20973,42.836,43.128
21016,42.601,43.13
21059,42.699,42.917
21103,42.682,43.227
21146,42.79,43.008
21189,42.653,42.886
21232,42.658,43.354
21275,42.746,42.752
21318,42.602,42.93
21361,42.506,43.165
21404,43.057,43.286
21447,42.462,42.813
21490,42.628,43.056
21533,42.676,43.014
21576,42.889,43.031
21619,42.529,42.968
21662,42.784,43.114
21705,42.682,43.064
21749,42.721,42.996
21792,42.544,43.037
21835,42.682,42.985
21878,42.805,43.171
21921,42.485,42.946
21964,42.698,42.963
22007,42.611,43.107
