Frequency Response,Sweep
Frequency[Hz],Level-L[dB],Level-R[dB]
20.0,-76.83,-83.52
20.7,-81.32,-83.90
21.4,-80.29,-83.95
22.2,-81.28,-84.55
23.0,-81.24,-82.17
23.8,-78.76,-83.86
24.6,-80.70,-83.51
25.5,-80.42,-83.53
26.4,-79.37,-83.84
27.3,-79.55,-82.88
28.3,-78.26,-81.55
29.2,-78.08,-81.76
30.3,-77.46,-80.41
31.3,-76.54,-79.01
32.4,-78.91,-81.13
33.6,-75.13,-78.27
34.8,-75.13,-78.86
36.0,-74.31,-77.02
37.2,-74.66,-77.86
38.6,-74.23,-76.76
39.9,-72.88,-75.25
41.3,-72.80,-75.30
42.8,-71.64,-74.36
44.3,-70.05,-72.33
45.8,-69.26,-72.07
47.4,-68.78,-71.39
49.1,-67.59,-70.39
50.8,-66.73,-69.58
52.6,-66.13,-68.58
54.5,-65.45,-68.02
56.4,-64.68,-67.05
58.3,-63.96,-66.08
60.4,-62.90,-65.25
62.5,-62.56,-64.53
64.7,-61.73,-63.68
67.0,-61.19,-63.04
69.3,-60.50,-62.17
71.8,-59.95,-61.50
74.3,-59.70,-60.88
76.9,-59.20,-60.25
79.6,-58.99,-59.91
82.4,-58.52,-59.42
85.3,-58.38,-59.08
88.3,-57.99,-58.63
91.4,-57.77,-58.37
94.6,-57.55,-57.98
98.0,-57.50,-57.85
101.4,-57.45,-57.77
105.0,-57.39,-57.76
108.7,-57.54,-57.94
112.5,-57.61,-57.76
116.4,-57.53,-57.69
120.5,-57.39,-57.58
124.7,-57.25,-57.48
129.1,-57.18,-57.50
133.7,-57.06,-57.40
138.4,-57.10,-57.49
143.2,-57.07,-57.45
148.3,-56.95,-57.39
153.5,-56.95,-57.44
158.9,-56.90,-57.44
164.4,-56.81,-57.38
170.2,-56.80,-57.42
176.2,-56.77,-57.42
182.4,-56.68,-57.37
188.8,-56.55,-57.37
195.4,-56.57,-57.46
202.3,-56.47,-57.44
209.4,-56.42,-57.40
216.8,-56.39,-57.43
224.4,-56.31,-57.42
232.3,-56.25,-57.45
240.5,-56.23,-57.54
248.9,-56.11,-57.60
257.6,-56.11,-57.81
266.7,-56.23,-57.97
276.1,-56.25,-57.65
285.8,-56.19,-56.91
295.8,-56.04,-55.83
306.2,-55.95,-55.74
317.0,-55.86,-55.87
328.1,-55.80,-56.03
339.6,-55.72,-56.09
351.6,-55.70,-56.13
363.9,-55.71,-56.07
376.7,-55.77,-56.02
390.0,-55.88,-56.02
403.7,-55.97,-56.06
417.9,-55.98,-56.11
432.5,-55.90,-56.12
447.7,-55.83,-56.10
463.5,-55.72,-56.01
479.8,-55.61,-55.93
496.6,-55.44,-55.80
514.1,-55.34,-55.72
532.1,-55.25,-55.60
550.8,-55.10,-55.45
570.2,-54.91,-55.28
590.2,-54.75,-55.14
611.0,-54.58,-55.03
632.5,-54.40,-54.91
654.7,-54.23,-54.74
677.7,-54.04,-54.50
701.5,-53.82,-54.20
726.2,-53.56,-53.85
