FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
10.767,53.56,51.796
21.533,48.816,49.409
32.3,49.757,48.903
43.066,49.736,50.487
53.833,49.389,49.653
64.6,50.005,50.362
75.366,49.788,50.918
86.133,50.184,50.268
96.899,49.754,50.4
107.67,49.91,49.959
118.43,49.708,49.914
129.2,49.328,49.824
139.97,49.865,49.641
150.73,49.739,49.983
161.5,49.935,49.968
172.27,49.492,49.778
183.03,49.79,49.717
193.8,49.936,50.121
204.57,50.271,50.385
215.33,50.429,50.559
226.1,50.814,50.726
236.87,50.439,51.061
247.63,51.3,51.36
258.4,51.7,51.907
269.17,51.853,52.155
279.93,51.95,52.354
290.7,52.471,52.696
301.46,53.108,53.622
312.23,53.433,53.877
323,53.681,54.096
333.76,53.774,54.216
344.53,54.536,55.139
355.3,54.8,55.347
366.06,54.785,55.176
376.83,55.007,55.659
387.6,55.909,56.657
398.36,56.285,56.791
409.13,56.072,56.537
419.9,56.035,56.557
430.66,56.514,57.315
441.43,56.931,57.684
452.2,56.838,57.367
462.96,57.015,57.55
473.73,57.367,58.089
484.5,57.313,58.035
495.26,57.412,57.973
506.03,57.693,58.366
516.8,58.009,58.651
527.56,58.309,58.981
538.33,58.57,59.214
549.1,59.028,59.687
559.86,59.348,60.039
570.63,60.136,60.827
581.4,60.894,61.611
592.16,61.312,62
602.93,62.447,63.171
613.7,63.304,64.076
624.46,64.292,65.052
635.23,65.424,66.176
646,66.327,67.079
656.76,68.061,68.864
667.53,68.633,69.444
678.3,70.026,70.779
689.06,70.756,71.553
699.83,70.701,71.516
710.6,67.732,68.48
721.36,95.885,96.712
732.13,112.55,113.37
742.9,112.37,113.19
753.66,94.837,95.657
764.43,66.09,66.902
775.2,70.869,71.656
785.96,71.701,72.476
796.73,70.905,71.795
807.5,70.266,71.166
818.26,68.488,69.315
829.03,67.846,68.606
839.79,66.73,67.566
850.56,65.799,66.661
861.33,64.504,65.383
872.09,63.494,64.403
882.86,63.226,64.143
893.63,61.937,62.846
904.39,61.012,61.87
915.16,60.595,61.516
925.93,59.927,60.887
936.69,59.565,60.554
947.46,59.346,60.396
958.23,59.202,60.208
968.99,58.502,59.418
979.76,58.383,59.38
990.53,59.274,60.298
1001.3,59.309,60.253
1012.1,58.246,59.046
1022.8,57.959,58.95
1033.6,59.334,60.422
1044.4,59.745,60.571
1055.1,58.07,58.782
1065.9,57.554,58.664
1076.7,59.479,60.588
1087.4,59.658,60.427
1098.2,58.137,58.675
1109,56.695,57.887
1119.7,58.664,59.849
1130.5,59.097,59.963
1141.3,57.234,57.666
1152,56.225,57.236
1162.8,57.785,59.171
1173.6,57.65,58.82
1184.3,55.808,56.279
1195.1,54.972,55.979
1205.9,56.999,58.24
1216.6,56.635,57.606
1227.4,54.165,54.814
1238.2,53.938,55.096
1248.9,56.355,57.439
1259.7,55.819,56.593
1270.5,53.343,53.98
1281.2,54.343,55.323
1292,55.847,56.702
1302.8,56.044,56.505
1313.5,54.286,54.948
1324.3,55.174,55.976
1335.1,57.189,57.666
1345.8,56.036,56.494
1356.6,56.328,56.933
1367.4,56.778,57.434
1378.1,58.543,58.782
1388.9,57.795,57.97
1399.7,57.841,58.549
1410.4,58.486,59.057
1421.2,58.287,58.417
1432,60.94,61.172
1442.7,59.848,60.184
1453.5,64.547,64.664
1464.3,101.58,101.35
1475,108.47,108.23
1485.8,100.68,100.44
1496.6,67.048,66.818
1507.3,60.174,59.752
1518.1,59.759,59.73
1528.9,59.366,59.628
1539.6,58.689,59.141
1550.4,58.214,58.273
1561.2,58.167,58.455
1571.9,57.469,57.729
1582.7,58.618,58.77
1593.5,57.241,57.417
1604.2,57.778,57.976
1615,57.089,57.098
1625.8,57.05,57.057
1636.5,56.411,56.507
1647.3,55.906,56.01
1658.1,55.904,55.778
1668.8,55.321,55.102
1679.6,54.903,54.859
1690.4,54.457,54.407
1701.1,53.768,53.615
1711.9,53.952,53.636
1722.7,52.881,52.638
1733.4,52.053,51.952
1744.2,52.132,51.688
1755,51.322,51.093
1765.7,51.045,50.639
1776.5,50.1,49.888
1787.3,49.943,49.786
1798,49.56,49.261
1808.8,49.256,49.117
1819.6,48.734,48.763
1830.3,48.799,48.819
1841.1,48.3,48.566
1851.9,48.608,48.747
1862.6,48.388,48.703
1873.4,48.521,48.899
1884.2,48.204,48.789
1894.9,48.629,48.838
