FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
10.767,62.091,61.24
21.533,60.086,60.537
32.3,60.175,60.164
43.066,60.211,60.476
53.833,60.142,60.379
64.6,60.23,60.326
75.366,60.321,60.49
86.133,60.435,60.608
96.899,60.157,60.49
107.67,60.529,60.688
118.43,60.382,60.568
129.2,60.457,60.72
139.97,60.713,60.87
150.73,60.667,60.902
161.5,60.821,61.157
172.27,60.59,60.813
183.03,61.02,61.259
193.8,60.974,61.27
204.57,61.08,61.342
215.33,61.308,61.572
226.1,61.279,61.571
236.87,61.426,61.767
247.63,61.506,61.814
258.4,61.797,62.078
269.17,61.749,62.149
279.93,62.101,62.369
290.7,62.071,62.461
301.46,62.274,62.61
312.23,62.578,62.929
323,62.557,62.947
333.76,62.879,63.245
344.53,62.998,63.439
355.3,63.104,63.474
366.06,63.536,63.951
376.83,63.538,64.014
387.6,63.804,64.241
398.36,64.193,64.637
409.13,64.251,64.724
419.9,64.672,65.15
430.66,64.842,65.326
441.43,64.961,65.442
452.2,65.54,66.087
462.96,65.793,66.282
473.73,65.986,66.551
484.5,66.382,66.918
495.26,66.774,67.343
506.03,67.019,67.575
516.8,67.668,68.267
527.56,67.831,68.398
538.33,68.469,69.091
549.1,69.024,69.628
559.86,69.264,69.914
570.63,70.282,70.911
581.4,70.394,71.044
592.16,71.43,72.089
602.93,71.928,72.583
613.7,72.708,73.387
624.46,73.741,74.43
635.23,74.493,75.201
646,75.534,76.236
656.76,76.361,77.088
667.53,77.494,78.234
678.3,78.871,79.608
689.06,79.925,80.685
699.83,81.363,82.128
710.6,82.818,83.613
721.36,101.13,101.91
732.13,118.31,119.09
742.9,118.43,119.21
753.66,101.81,102.59
764.43,83.173,83.971
775.2,81.517,82.309
785.96,80.096,80.894
796.73,79.345,80.109
807.5,78.213,79.012
818.26,76.82,77.618
829.03,76.176,76.951
839.79,74.459,75.285
850.56,74.204,74.979
861.33,73.024,73.843
872.09,72.504,73.301
882.86,71.691,72.501
893.63,70.843,71.699
904.39,70.332,71.176
915.16,69.517,70.408
925.93,69.053,69.935
936.69,68.441,69.368
947.46,68.017,68.909
958.23,67.391,68.362
968.99,67.042,67.949
979.76,66.615,67.578
990.53,66.23,67.227
1001.3,65.915,66.807
1012.1,65.366,66.363
1022.8,65.096,66.058
1033.6,64.832,65.818
1044.4,64.693,65.652
1055.1,64.135,65.135
1065.9,63.809,64.816
1076.7,63.848,64.796
1087.4,63.412,64.395
1098.2,63.13,64.24
1109,62.897,63.818
1119.7,62.894,63.931
1130.5,62.261,63.285
1141.3,62.323,63.337
1152,62.113,63.168
1162.8,61.556,62.554
1173.6,61.717,62.827
1184.3,61.496,62.436
1195.1,61.035,62.175
1205.9,61.092,62.08
1216.6,60.684,61.733
1227.4,60.85,61.95
1238.2,60.314,61.357
1248.9,60.356,61.366
1259.7,60.175,61.291
1270.5,59.836,60.933
1281.2,59.75,60.813
1292,59.762,60.864
1302.8,59.459,60.499
1313.5,59.218,60.319
1324.3,59.311,60.363
1335.1,58.789,59.991
1345.8,58.887,59.882
1356.6,58.965,60.097
1367.4,58.561,59.694
1378.1,58.363,59.446
1388.9,58.434,59.496
1399.7,58.081,59.264
1410.4,58.265,59.325
1421.2,57.68,58.835
1432,58.249,59.271
1442.7,57.555,58.71
1453.5,57.544,58.771
1464.3,72.41,70.942
1475,80.645,79.004
1485.8,72.912,71.392
1496.6,57.969,58.592
1507.3,56.902,58.114
1518.1,56.967,57.995
1528.9,56.617,57.845
1539.6,56.589,57.745
1550.4,56.615,57.788
1561.2,56.384,57.562
1571.9,56.321,57.447
1582.7,56.223,57.422
1593.5,56.175,57.336
1604.2,55.85,57.048
1615,56.068,57.226
1625.8,55.823,57.013
1636.5,55.695,56.876
1647.3,55.66,56.838
1658.1,55.468,56.699
1668.8,55.49,56.701
1679.6,55.34,56.532
1690.4,55.331,56.449
1701.1,55.147,56.401
1711.9,55.137,56.297
1722.7,55.017,56.228
1733.4,54.929,56.13
1744.2,54.799,56.062
1755,54.827,56.016
1765.7,54.634,55.875
1776.5,54.527,55.776
1787.3,54.696,55.775
1798,54.302,55.641
1808.8,54.447,55.614
1819.6,54.253,55.448
1830.3,54.156,55.448
1841.1,54.173,55.389
1851.9,54.093,55.308
1862.6,53.851,55.179
1873.4,54.05,55.171
1884.2,53.772,55.117
1894.9,53.789,54.959
1905.7,53.737,54.967
1916.5,53.543,54.86
1927.2,53.531,54.766
1938,53.543,54.832
1948.8,53.396,54.57
1959.5,53.354,54.582
1970.3,53.268,54.578
1981.1,53.18,54.45
1991.8,53.205,54.455
2002.6,52.969,54.199
2013.4,52.919,54.281
2024.1,53.036,54.216
2034.9,52.791,54.102
2045.7,52.707,53.959
2056.4,52.766,54.092
2067.2,52.609,53.843
2078,52.562,53.897
2088.7,52.463,53.684
2099.5,52.384,53.74
2110.3,52.181,53.566
2121,52.284,53.563
2131.8,52.184,53.458
2142.6,52.077,53.389
2153.3,51.854,53.238
2164.1,51.751,53.153
2174.9,51.868,53.154
2185.6,52.551,53.734
2196.4,57.72,57.906
2207.2,68.42,66.461
2217.9,70.776,69.772
2228.7,48.88,46.208
2239.5,51.997,53.325
2250.2,52.286,53.475
2261,52.369,53.538
2271.8,52.375,53.507
2282.5,52.292,53.324
2293.3,52.055,53.369
2304.1,52.127,53.232
2314.8,51.922,53.179
2325.6,51.89,53.068
2336.4,51.762,52.95
2347.1,51.837,53.042
2357.9,51.72,52.988
2368.7,51.58,52.77
2379.4,51.654,52.884
2390.2,51.435,52.678
2401,51.492,52.679
2411.7,51.358,52.681
2422.5,51.42,52.502
2433.3,51.274,52.62
2444,51.27,52.552
2454.8,51.259,52.398
2465.6,51.053,52.412
2476.3,51.176,52.299
2487.1,50.997,52.298
2497.9,51.06,52.256
2508.6,50.993,52.27
2519.4,50.918,52.232
2530.2,50.864,52.149
2540.9,50.785,52.06
2551.7,50.882,52.032
2562.5,50.745,52.039
2573.2,50.663,51.957
2584,50.66,51.942
2594.8,50.673,51.949
2605.5,50.577,51.832
2616.3,50.55,51.78
2627.1,50.568,51.824
2637.8,50.383,51.723
2648.6,50.427,51.646
2659.4,50.401,51.676
2670.1,50.397,51.521
2680.9,50.323,51.689
2691.7,50.268,51.6
2702.4,50.275,51.388
2713.2,50.139,51.536
2724,50.179,51.437
2734.7,50.17,51.35
2745.5,49.967,51.443
2756.3,50.148,51.319
2767,50.063,51.339
2777.8,49.869,51.199
2788.5,50.073,51.217
2799.3,49.885,51.21
2810.1,49.835,51.148
2820.8,49.775,51.146
2831.6,49.919,51.074
2842.4,49.81,51.112
2853.1,49.648,50.987
2863.9,49.634,51.017
2874.7,49.813,50.991
2885.4,49.586,50.918
2896.2,49.633,50.874
