FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,60.806,60.965
86.133,59.843,60.219
129.2,59.87,60.249
172.27,60.08,60.494
215.33,60.53,60.986
258.4,61.183,61.538
301.46,61.82,62.285
344.53,62.308,62.745
387.6,62.237,62.647
430.66,58.415,58.725
473.73,75.287,75.686
516.8,106.24,106.67
559.86,111.42,111.85
602.93,101.62,102.05
646,66.648,67.105
689.06,62.552,62.697
732.13,64.459,64.638
775.2,64.422,64.528
818.26,64.621,64.738
861.33,64.752,64.817
904.39,64.851,64.908
947.46,64.253,64.257
990.53,58.112,58.477
1033.6,80.275,80.266
1076.7,104.1,104.08
1119.7,107.15,107.13
1162.8,94.745,94.721
1205.9,63.258,63.134
1248.9,61.723,61.873
1292,63.28,63.39
1335.1,62.82,62.904
1378.1,62.15,62.288
1421.2,61.301,61.414
1464.3,60.454,60.584
1507.3,59.708,59.8
1550.4,59.029,59.218
1593.5,58.683,58.654
1636.5,62.203,59.482
1679.6,63.617,60.475
1722.7,56.844,56.817
1765.7,56.369,56.621
1808.8,55.864,56.035
1851.9,55.52,55.74
1894.9,55.124,55.382
1938,54.908,55.105
1981.1,54.524,54.878
2024.1,54.293,54.592
2067.2,53.911,54.209
2110.3,53.4,53.669
2153.3,69.442,70.64
2196.4,84.816,86.022
2239.5,83.751,84.959
2282.5,65.015,66.177
2325.6,51.778,51.97
2368.7,51.93,52.327
2411.7,51.857,52.118
2454.8,51.463,51.856
2497.9,51.318,51.719
2540.9,50.939,51.183
2584,50.696,50.987
2627.1,50.523,50.778
2670.1,50.177,50.596
2713.2,50.146,50.2
2756.3,50.346,51.068
2799.3,50.142,50.184
2842.4,49.435,49.72
2885.4,49.225,49.405
2928.5,49.076,49.41
2971.6,48.911,49.084
3014.6,48.603,48.896
3057.7,48.645,48.765
3100.8,48.382,48.689
3143.8,48.167,48.384
3186.9,48.15,48.347
3230,47.974,48.368
3273,49.005,54.927
3316.1,56.168,61.925
3359.2,51.231,58.396
3402.2,47.404,47.619
3445.3,47.299,47.51
3488.4,47.086,47.356
3531.4,47.026,47.374
3574.5,46.708,47.074
3617.6,46.822,47.212
3660.6,46.59,46.848
3703.7,46.597,46.931
3746.8,46.342,46.515
3789.8,46.417,46.683
3832.9,46.078,46.764
3876,46.27,46.4
3919,45.905,46.462
3962.1,45.894,46.187
4005.2,45.77,46.122
4048.2,45.739,45.917
4091.3,45.674,45.914
4134.4,45.567,46.038
4177.4,45.441,45.656
4220.5,45.471,45.755
4263.6,45.197,45.721
4306.6,45.26,45.346
4349.7,44.087,45.585
4392.8,67.837,72.419
4435.8,72.521,77.395
4478.9,63.363,67.818
4522,44.919,44.976
4565,44.11,44.845
4608.1,44.291,44.128
4651.2,43.722,44.057
4694.2,43.711,44.311
4737.3,43.958,44.017
4780.4,43.634,44.075
4823.4,43.6,43.801
4866.5,43.642,43.937
4909.6,43.585,44.379
4952.6,43.638,51.771
4995.7,44.958,56.488
5038.8,43.325,44.206
5081.8,43.392,43.578
5124.9,43.026,43.638
5168,43.17,43.541
5211,43.103,43.323
5254.1,43.001,43.365
5297.2,42.935,43.681
5340.2,42.927,43.366
5383.3,42.847,43.101
5426.4,42.817,43.023
5469.4,44.423,52.4
5512.5,60.289,70.975
5555.6,61.051,71.888
5598.6,47.508,56.898
5641.7,42.653,42.981
5684.8,42.319,42.79
5727.8,42.213,42.263
5770.9,42.105,42.735
5814,42.329,42.43
5857,41.643,42.041
5900.1,42.171,42.453
5943.2,41.863,42.087
5986.2,42.095,42.022
6029.3,41.463,41.804
6072.4,41.997,42.76
6115.4,41.741,41.82
6158.5,41.446,41.616
6201.6,41.884,41.947
6244.6,41.306,41.16
6287.7,41.719,41.323
6330.8,41.697,41.612
6373.8,41.359,41.259
6416.9,41.646,41.354
6460,41.339,40.85
6503,41.308,41.137
6546.1,40.927,43.607
6589.2,49.759,61.794
6632.2,62.622,73.759
6675.3,58.928,70.775
6718.4,43.086,47.356
6761.4,40.8,41.477
6804.5,40.807,42.362
6847.6,40.512,41.932
6890.6,40.09,42.074
6933.7,40.786,41.339
6976.8,40.392,41.811
7019.8,40.119,41.507
7062.9,40.454,41.387
7106,40.488,41.01
7149,40.028,41.816
7192.1,39.967,40.337
7235.2,40.35,41.999
7278.2,40.131,40.637
7321.3,40.131,40.953
7364.4,39.988,40.855
7407.4,39.878,40.603
7450.5,39.912,40.933
7493.6,39.984,40.382
7536.6,39.636,40.948
7579.7,39.825,40.108
7622.8,39.603,40.657
7665.8,40.053,40.578
7708.9,48.319,52.515
7752,54.64,59.294
7795,48.147,52.224
7838.1,39.591,40.007
7881.2,39.602,40.292
7924.2,39.213,40.263
7967.3,39.478,39.872
8010.4,39.345,39.98
8053.4,39.382,40.108
8096.5,39.59,39.777
8139.6,39.111,39.667
8182.6,39.031,39.829
8225.7,39.125,39.873
8268.8,39.221,39.167
8311.8,38.877,40.168
8354.9,38.974,39.449
8397.9,39.158,39.633
8441,38.856,39.436
8484.1,38.982,39.397
8527.1,38.855,39.472
8570.2,38.956,39.706
8613.3,38.615,38.959
8656.3,38.958,39.257
8699.4,38.539,39.461
8742.5,39.046,38.896
8785.5,38.057,39.544
8828.6,42.822,39.558
8871.7,39.814,38.76
8914.7,39.666,39.424
8957.8,38.478,38.79
9000.9,38.596,39.031
9043.9,38.122,38.94
9087,38.307,39.055
9130.1,38.705,38.79
9173.1,37.96,38.94
9216.2,38.623,38.848
9259.3,38.17,38.972
9302.3,38.043,38.357
9345.4,38.163,38.604
9388.5,37.953,38.502
9431.5,38.109,39.02
9474.6,38.135,38.531
9517.7,38.297,38.798
9560.7,37.849,38.172
9603.8,38.139,38.672
9646.9,37.84,38.471
9689.9,37.87,38.382
9733,37.881,38.23
9776.1,37.701,38.453
9819.1,37.911,38.276
9862.2,38.007,38.399
9905.3,39.518,37.902
9948.3,50.954,38.709
9991.4,50.027,38.104
10034,38.553,38.234
10078,37.426,38.083
10121,37.987,38.384
10164,37.297,37.625
10207,37.281,38.152
10250,37.669,37.989
10293,37.471,38.245
10336,37.468,37.344
10379,37.441,38
10422,37.372,38.06
10465,37.192,37.806
10508,37.452,37.617
10551,37.52,37.817
10594,37.265,37.94
10637,37.124,37.273
10680,37.222,38.169
10724,37.304,37.588
10767,36.967,37.563
10810,37.034,37.484
10853,37.576,38.042
10896,36.735,37.515
10939,37.075,37.629
10982,37.071,37.502
11025,37.483,38.379
11068,45.597,36.848
11111,38.67,38.742
11154,37.228,37.199
11197,36.537,37.475
11240,37.358,37.507
11283,36.523,37.019
11326,36.857,37.808
11370,36.672,36.819
11413,36.902,37.552
11456,36.894,36.913
11499,36.401,37.296
11542,36.591,37.093
11585,36.82,37.672
11628,36.735,36.683
11671,36.343,37.054
11714,36.774,37.227
11757,36.67,37.206
11800,36.266,37.039
11843,36.532,36.985
11886,36.465,36.696
11929,36.609,37.555
11972,36.026,36.334
12016,36.956,37.301
12059,36.412,36.808
12102,36.328,36.787
12145,37.369,42.419
12188,42.883,47.552
12231,35.417,38.967
12274,36.604,36.84
12317,36.032,36.816
12360,36.307,36.931
12403,36.239,36.59
12446,35.899,36.325
12489,36.42,37.182
12532,36.052,36.065
12575,36.322,37.167
12618,36.057,36.152
12662,35.779,36.671
12705,36.155,36.725
12748,36.33,36.305
12791,35.741,36.736
12834,35.909,36.333
12877,36.383,36.139
12920,35.686,36.611
12963,35.854,36.623
13006,36.045,36.619
13049,35.821,35.901
13092,36.091,36.725
13135,35.128,35.81
13178,36.743,36.995
13221,35.228,36.054
13264,38.56,42.011
13308,38.463,42.461
13351,36.247,36.946
13394,35.478,35.581
13437,35.405,36.404
13480,35.957,35.772
13523,36.133,36.487
13566,35.414,36.14
13609,35.793,36.042
13652,35.572,36.266
13695,35.464,36.121
13738,35.605,36.014
13781,35.731,36.13
13824,35.694,35.755
13867,35.446,36.058
13910,35.514,35.93
13954,35.645,36.19
13997,35.058,35.466
14040,35.763,36.516
14083,35.553,35.812
14126,35.437,36.034
14169,35.556,35.812
14212,35.627,35.514
14255,35.073,36.123
14298,35.525,35.405
14341,36.284,36.288
14384,39.495,35.664
14427,39.226,36.037
14470,35.505,35.666
14513,35.05,35.578
14556,35.066,35.747
14600,35.654,35.907
14643,35.28,35.552
14686,35.158,35.687
14729,35.245,36.019
14772,35.502,35.346
14815,34.834,35.852
14858,35.512,36.082
14901,35.001,35.119
14944,35.298,35.896
14987,35.289,35.443
15030,35.416,35.49
15073,35.095,35.913
15116,34.867,35.189
15159,35.334,35.584
15202,34.903,35.681
15246,35.083,35.385
15289,34.96,35.391
15332,35.123,35.947
15375,34.881,35.024
15418,35.136,35.602
15461,35.208,35.623
15504,36.351,35.614
15547,35.513,35.33
15590,34.631,35.627
15633,35.32,35.083
15676,34.488,35.61
15719,35.127,35.77
15762,34.908,34.624
15805,34.839,35.803
15848,35.238,35.465
15892,34.067,35.058
15935,35.299,35.386
15978,35.081,35.094
16021,34.716,35.585
16064,34.275,34.661
16107,35.239,35.99
16150,34.766,34.962
16193,34.695,35.452
16236,34.963,34.558
16279,34.64,35.987
16322,34.45,34.52
16365,34.937,35.859
16408,35.152,35.041
16451,34.239,34.93
16494,34.613,35.524
16538,34.765,35.374
16581,36.561,35.093
16624,36.063,35.953
16667,34.389,35.164
16710,35.182,35.086
16753,34.841,35.253
16796,34.136,34.526
16839,34.585,35.633
16882,34.503,34.812
16925,34.973,34.764
16968,34.369,35.881
17011,34.786,34.858
17054,34.349,34.48
17097,34.891,35.319
17140,34.394,34.88
17183,34.725,35.404
17227,34.525,34.67
17270,34.732,35.235
17313,34.268,34.772
17356,34.727,34.994
17399,34.366,34.623
17442,34.856,35.648
17485,34.125,34.382
17528,34.595,35.387
17571,34.814,34.825
17614,34.488,34.905
17657,34.008,34.207
17700,36.703,36.331
17743,34.984,34.834
17786,34.337,35.056
17829,34.964,34.94
17873,34.297,34.958
17916,34.18,34.262
17959,34.86,35.368
18002,34.114,34.806
18045,34.3,34.761
18088,34.361,34.671
18131,33.992,34.888
18174,34.796,35.178
18217,34.034,34.516
18260,34.499,35.337
18303,34.455,34.156
18346,34.658,34.719
18389,34.092,35.324
18432,34.279,34.58
18475,34.483,34.738
18519,34.559,34.86
18562,34.458,34.519
18605,34.185,35.22
18648,33.602,34.631
18691,34.708,34.663
18734,34.569,34.617
18777,34.027,35.041
18820,35.909,36.408
18863,34.35,35.832
18906,34.389,34.262
18949,34.205,34.761
18992,34.281,34.502
19035,34.341,35.254
19078,33.736,34.116
19121,34.632,35.064
19165,33.991,34.5
19208,34.408,35.325
19251,33.538,34.383
19294,34.574,34.605
19337,34.562,34.849
19380,34.128,34.644
19423,33.957,35.208
19466,34.433,34.213
19509,34.111,34.556
19552,34.11,34.6
19595,34.234,35.015
19638,34.411,34.828
19681,34.022,33.927
19724,34.007,35.145
19767,34.159,34.124
19811,33.946,34.831
19854,34.484,34.974
19897,34.242,34.427
19940,34.71,34.728
19983,34.128,34.368
20026,33.893,35.199
20069,34.061,34.145
20112,34.534,34.808
20155,34.228,34.291
20198,33.762,34.66
20241,33.944,34.364
20284,33.973,35.288
20327,34.26,33.995
20370,33.967,34.331
20413,34.134,35.23
20457,34.164,34.071
20500,33.86,34.603
20543,34.063,34.58
20586,34.321,34.666
20629,34.109,34.758
20672,34.197,34.21
20715,33.749,34.631
20758,34.768,34.564
20801,33.515,34.291
20844,33.966,35.086
20887,34.277,33.877
20930,33.885,34.949
20973,34.15,34.084
21016,33.566,34.809
21059,34.844,34.068
21103,33.347,34.5
21146,34.468,34.405
21189,33.701,34.658
21232,34.204,34.613
21275,34.026,34.092
21318,33.686,34.284
21361,34.438,35.152
21404,33.706,34.361
21447,33.761,34.018
21490,34.385,35.077
21533,33.663,34.184
21576,33.83,34.003
21619,34.119,34.276
21662,34.042,34.947
21705,33.656,33.848
21749,33.983,34.905
21792,34.047,34.115
21835,33.945,34.521
21878,33.92,34.652
21921,34.465,34.37
21964,33.519,34.449
22007,34.061,34.501
