FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,69.857,70.168
86.133,68.907,69.235
129.2,69.318,69.712
172.27,69.493,69.877
215.33,68.845,69.176
258.4,62.031,62.625
301.46,90.069,90.646
344.53,108.92,109.49
387.6,109.85,110.42
430.66,94.289,94.846
473.73,64.188,64.485
516.8,68.236,68.902
559.86,69.326,69.995
602.93,68.89,69.54
646,68.4,69.042
689.06,72.219,73.697
732.13,79.783,81.97
775.2,75.133,76.95
818.26,67.192,67.777
861.33,67.473,68.035
904.39,67.287,67.766
947.46,67.133,67.625
990.53,63.097,63.808
1033.6,82.218,82.494
1076.7,105.28,105.59
1119.7,108.07,108.38
1162.8,95.322,95.632
1205.9,66.697,67.148
1248.9,65.146,65.371
1292,66.125,66.567
1335.1,65.9,66.187
1378.1,65.795,66.1
1421.2,66.275,68.021
1464.3,71.292,77.147
1507.3,69.422,73.836
1550.4,66.184,66.533
1593.5,66.878,67.017
1636.5,66.696,66.752
1679.6,67.343,67.295
1722.7,63.534,63.612
1765.7,80.924,80.783
1808.8,109.72,109.6
1851.9,114.44,114.32
1894.9,104.12,104
1938,70.969,70.96
1981.1,64.819,64.822
2024.1,66.908,66.893
2067.2,66.094,65.938
2110.3,65.805,65.764
2153.3,67.562,65.835
2196.4,79.079,75.227
2239.5,77.525,73.514
2282.5,63.802,63.24
2325.6,61.498,61.438
2368.7,61.802,61.768
2411.7,60.064,60.187
2454.8,61.728,61.611
2497.9,64.159,63.225
2540.9,99.857,97.301
2584,106.59,104.05
2627.1,98.472,95.93
2670.1,58.548,59.268
2713.2,58.424,58.398
2756.3,58.74,58.912
2799.3,57.825,57.716
2842.4,57.923,58.096
2885.4,57.762,58.846
2928.5,65.448,69.954
2971.6,65.922,70.646
3014.6,56.858,57.973
3057.7,56.148,56.503
3100.8,55.865,56.351
3143.8,55.64,56.19
3186.9,55.404,56.147
3230,55.19,55.75
3273,57.636,58.37
3316.1,62.641,64.826
3359.2,58.84,59.858
3402.2,54.374,55.283
3445.3,54.207,55.259
3488.4,54.094,55.112
3531.4,53.843,55.06
3574.5,53.698,55.001
3617.6,52.883,54.76
3660.6,66.067,62.135
3703.7,66.817,62.741
3746.8,57.685,56.42
3789.8,53.065,55.026
3832.9,53.043,55.037
3876,52.585,54.986
3919,52.568,55.002
3962.1,52.812,55.308
4005.2,77.049,78.999
4048.2,88.14,90.169
4091.3,84.093,86.082
4134.4,58.35,61.14
4177.4,51.593,54.799
4220.5,51.978,55.794
4263.6,51.7,55.646
4306.6,51.883,56.419
4349.7,51.556,56.371
4392.8,51.949,65.846
4435.8,55.667,70.012
4478.9,51.493,61.145
4522,51.61,58.274
4565,52.331,59.863
4608.1,51.654,59.229
4651.2,51.254,58.75
4694.2,53.093,58.463
4737.3,78.015,87.701
4780.4,91.585,101.37
4823.4,89.459,99.219
4866.5,67.85,77.759
4909.6,51.245,56.995
4952.6,52.598,58.743
4995.7,53.079,60.764
5038.8,52.358,58.721
5081.8,52.406,58.589
5124.9,68.127,66.78
5168,74.21,72.534
5211,65.216,64.415
5254.1,50.848,57.192
5297.2,50.924,57.363
5340.2,50.368,57.239
5383.3,50.715,56.889
5426.4,50.089,56.172
5469.4,67.461,76.816
5512.5,83.686,93.342
5555.6,83.42,93.067
5598.6,65.692,75.479
5641.7,49.972,55.459
