FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
15.625,48.25,44.782
31.25,41.912,39.908
46.875,37.896,35.772
62.5,30.284,24.199
78.125,33.898,25.981
93.75,30.477,25.606
109.38,26.931,23.594
125,27.614,21.083
140.63,27.186,19.29
156.25,23.433,18.731
171.88,23.847,20.694
187.5,25.224,18.774
203.13,22.985,20.317
218.75,21.345,16.981
234.38,22.213,16.929
250,22.531,20.197
265.63,22.231,18.587
281.25,20.988,17.885
296.88,24.435,21.384
312.5,23.402,20.787
328.13,19.691,17.401
343.75,35.591,33.475
359.38,55.5,54.043
375,57.255,55.837
390.63,42.904,41.791
406.25,19.472,16.095
421.88,21.459,20.613
437.5,21.385,19.927
453.13,20.541,18.766
468.75,20.301,19.735
484.38,21.625,17.192
500,21.281,16.802
515.63,19.651,18.648
531.25,19.542,16.693
546.88,18.263,16.182
562.5,21.113,15.131
578.13,16.807,19.91
593.75,14.418,17.871
609.38,18.247,17.638
625,18.328,19.372
640.63,17.754,18.473
656.25,19.783,19.967
671.88,19.568,18.299
687.5,17.498,14.918
703.13,17.361,18.893
718.75,17.636,19.473
734.38,21.103,22.604
750,22.779,21.754
765.63,18.569,17.035
781.25,16.617,17.017
796.88,16.891,16.932
812.5,19.595,15.448
828.13,19.636,19.399
843.75,21.012,20.564
859.38,22.602,15.756
875,17.442,16.993
890.63,19.533,20.722
906.25,16.101,17.754
921.88,18.208,17.984
937.5,19.727,18.095
953.13,19.481,19.067
968.75,18.9,17.714
984.38,19.261,20.641
1000,19.521,20.671
1015.6,15.597,19.282
1031.3,17.497,18.082
1046.9,17.946,16.647
1062.5,18.206,17.437
1078.1,17.991,18.252
1093.8,22.445,25.421
1109.4,27.216,29.954
1125,20.148,22.915
1140.6,18.77,19.775
1156.3,17.611,16.584
1171.9,18.187,15.611
1187.5,17.527,17.634
1203.1,15.233,16.217
1218.8,16.223,17.318
1234.4,17.391,18.991
1250,15.779,19.304
1265.6,16.903,18.631
1281.3,15.179,19.308
1296.9,15.164,18.654
1312.5,15.371,15.084
1328.1,17.422,18.858
1343.8,15.647,18.475
1359.4,16.174,18.539
1375,16.02,18.273
1390.6,14.658,14.092
1406.3,17.703,17.72
1421.9,14.741,18.697
1437.5,16.868,16.506
1453.1,17.446,14.465
1468.8,16.597,18.857
1484.4,19.237,18.214
1500,20.193,15.7
1515.6,19.152,16.328
1531.3,17.58,17.182
1546.9,18.875,19.124
1562.5,19.096,18.918
1578.1,16.89,19.342
1593.8,16.541,17.581
1609.4,16.652,18.648
1625,16.666,15.751
1640.6,18.196,17.5
1656.3,16.287,16.803
1671.9,17.253,16.603
1687.5,16.08,15.801
1703.1,15.891,17.923
1718.8,18.411,19.435
1734.4,17.403,19.293
1750,17.803,19.41
1765.6,18.113,18.463
1781.3,17.731,19.49
1796.9,16.708,14.988
1812.5,17.945,17.995
1828.1,20.94,20.194
1843.8,24.875,23.401
1859.4,20.396,22.031
1875,13.587,16.108
1890.6,12.739,17.763
1906.3,13.985,19.212
1921.9,15.688,15.501
1937.5,16.263,17.098
1953.1,17.143,20.338
1968.8,18.221,18.683
1984.4,18.532,16.722
2000,21.348,20.362
2015.6,18.276,14.559
2031.3,16.612,14.022
2046.9,19.202,15.131
2062.5,17.714,13.968
2078.1,16.424,15.98
2093.8,14.257,19.907
2109.4,12.98,18.882
2125,16.689,18.012
2140.6,18.142,15.573
2156.3,18.951,14.624
2171.9,16.584,18.746
2187.5,16.447,16.136
2203.1,15.701,14.437
2218.8,17.985,16.854
2234.4,17.271,16.463
2250,14.889,17.76
2265.6,14.601,17.062
2281.3,13.852,17.547
2296.9,15.906,16.182
2312.5,18.477,16.137
2328.1,18.116,18.337
2343.8,17.442,19.389
2359.4,16.563,19.115
2375,16.533,18.513
2390.6,16.403,15.402
2406.3,18.073,17.358
2421.9,16.629,16.393
2437.5,16.115,15.179
2453.1,14.939,16.167
2468.8,14.709,14.345
2484.4,14.223,16.685
2500,16.459,18.311
2515.6,17.259,18.034
2531.3,14.932,18.013
2546.9,12.912,18.99
2562.5,15.58,18.015
2578.1,16.226,17.616
2593.8,16.503,17.072
2609.4,14.929,16.177
2625,16.926,18.841
2640.6,14.247,18.354
2656.3,12.088,16.693
2671.9,14.354,16.511
2687.5,16.033,16.489
2703.1,15.271,15.704
2718.8,13.383,17.12
2734.4,15.892,15.526
2750,17.867,16.974
2765.6,16.934,17.777
2781.3,11.503,17.56
