FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
15.625,48.176,42.729
31.25,39.207,41.171
46.875,39.266,39.695
62.5,36.777,33.935
78.125,31.68,29.233
93.75,27.913,24.183
109.38,25.756,25.721
125,27.935,26.411
140.63,28.116,27.286
156.25,25.089,27.047
171.88,21.821,25.535
187.5,22.797,24.466
203.13,21.426,24.463
218.75,21.238,24.896
234.38,22.182,24.727
250,24.28,25.552
265.63,22.396,23.778
281.25,21.619,23.921
296.88,20.914,24.663
312.5,22.758,26.607
328.13,21.211,24.594
343.75,20.719,24.339
359.38,20.056,24.549
375,23.608,26.516
390.63,20.639,22.386
406.25,21.179,25.078
421.88,20.239,24.483
437.5,21.55,24.902
453.13,17.186,23.025
468.75,21.289,25.407
484.38,20.285,24.867
500,22.11,25.071
515.63,18.95,23.534
531.25,19.826,25.366
546.88,18.787,22.815
562.5,17.86,25.697
578.13,19.971,24.71
593.75,16.749,25.443
609.38,20.354,23.1
625,20.696,24.085
640.63,19.34,23.862
656.25,20.421,25.012
671.88,17.965,24.65
687.5,19.258,25.873
703.13,19.346,23.89
718.75,22.373,25.944
734.38,19.56,23.121
750,22.771,25.757
765.63,19.084,23.953
781.25,19.733,24.623
796.88,20.331,25.074
812.5,18.827,24.508
828.13,20.365,25.053
843.75,16.867,23.622
859.38,19.411,23.893
875,22.417,26.483
890.63,19.011,23.981
906.25,17.093,25.134
921.88,17.556,22.872
937.5,18.377,24.541
953.13,20.017,26.453
968.75,18.35,24.203
984.38,18.932,25.744
1000,19.288,23.153
1015.6,17.233,24.813
1031.3,18.29,25.057
1046.9,20.186,24.477
1062.5,18.601,23.868
1078.1,18.97,24.108
1093.8,20.939,26.061
1109.4,20.466,26.143
1125,19.952,25.896
1140.6,19.172,24.238
1156.3,18.775,25.47
1171.9,17.746,24.775
1187.5,18.981,24.888
1203.1,20.258,24.729
1218.8,18.299,25.493
1234.4,22.326,23.913
1250,19.32,25.801
1265.6,14.121,24.114
1281.3,19.066,22.86
1296.9,20.664,26.474
1312.5,17.871,23.346
1328.1,18.36,25.652
1343.8,18.475,24.091
1359.4,20.869,25.161
1375,17.789,24.651
1390.6,17.768,25.638
1406.3,19.091,24.142
1421.9,18.773,25.614
1437.5,19.487,24.557
1453.1,16.829,26.174
1468.8,16.655,25.819
1484.4,20.239,22.714
1500,19.1,26.292
1515.6,20.461,24.601
1531.3,18.857,25.107
1546.9,17.727,23.733
1562.5,18.037,25.656
1578.1,18.551,25.646
1593.8,17.898,24.659
1609.4,22.287,25.933
1625,20.268,24.791
1640.6,18.597,25.168
1656.3,18.612,24.765
1671.9,17.931,25.141
1687.5,17.839,25.549
1703.1,17.464,24.018
1718.8,19.768,26.301
1734.4,17.966,25.937
1750,19.19,24.23
1765.6,16.911,24.001
1781.3,19.856,24.989
1796.9,19.276,26.059
1812.5,18.91,23.522
1828.1,16.583,23.846
1843.8,18.777,27.09
1859.4,14.987,22.275
1875,17.037,26.898
1890.6,19.268,21.793
1906.3,19.865,26.363
1921.9,18.96,25.493
1937.5,18.47,24.525
1953.1,17.766,25.907
1968.8,19.79,26.466
1984.4,20.049,25.573
2000,21.779,24.511
2015.6,17.747,26.875
2031.3,17.083,24.942
2046.9,15.625,25.912
2062.5,18.779,25.287
2078.1,16.901,25.774
2093.8,17.553,23.772
2109.4,18.251,25.91
2125,18.047,25.978
2140.6,19.741,25.494
2156.3,16.994,25.467
2171.9,18.43,25.573
2187.5,17.982,26.068
2203.1,17.281,24.792
2218.8,15.926,24.719
2234.4,19.346,26.406
2250,16.549,24.232
2265.6,17.769,27.188
2281.3,16.663,24.888
2296.9,19.557,25.893
2312.5,18.266,25.429
2328.1,18.876,25.967
2343.8,18.129,25.257
2359.4,16.265,25.691
2375,19.935,26.386
2390.6,16.128,25.401
2406.3,18.861,25.093
2421.9,18.738,26.75
2437.5,18.897,23.556
2453.1,15.619,26.918
2468.8,19.164,24.964
2484.4,18.117,26.956
2500,20.31,24.86
2515.6,17.962,26.155
2531.3,16.921,26.181
2546.9,16.801,25.667
2562.5,17.119,26.294
2578.1,18.749,27.401
2593.8,16.631,24.093
2609.4,20.928,26.94
2625,17.79,25.45
2640.6,20.025,25.494
2656.3,17.005,27.014
2671.9,15.74,26.694
2687.5,17.755,24.905
2703.1,19.952,26.474
2718.8,19.632,26.032
2734.4,18.748,26.689
2750,21.307,25.394
2765.6,16.42,27.338
2781.3,17.117,24.689
2796.9,20.36,30.764
2812.5,15.953,25.687
2828.1,18.024,26.167
2843.8,19.188,26.334
2859.4,15.185,26.171
2875,19.795,26.033
2890.6,17.98,27.075
2906.3,17.333,26.134
2921.9,18.707,27.539
2937.5,19.748,25.119
2953.1,16.698,26.956
2968.8,17.229,26.845
2984.4,17.183,26.243
3000,20.412,27.854
3015.6,16.465,24.566
3031.3,18.09,27.93
3046.9,17.748,25.666
3062.5,20.089,27.452
3078.1,18.286,25.207
3093.8,17.766,27.202
3109.4,18.093,26.35
3125,19.024,27.088
3140.6,16.206,25.925
3156.3,19.674,27.288
3171.9,18.037,26.126
3187.5,18.039,28.07
3203.1,18.788,26.1
3218.8,18.911,27.285
3234.4,18.337,27.021
3250,19.479,26.689
3265.6,15.25,28.246
3281.3,19.822,24.708
3296.9,18.207,29.234
3312.5,18.933,27.151
3328.1,19.753,26.021
3343.8,19.891,27.374
3359.4,18.914,27.292
3375,19.67,27.051
3390.6,20.797,27.292
3406.3,16.134,27.158
3421.9,16.311,27.471
3437.5,21.378,28.182
3453.1,19.562,26.929
3468.8,19.642,27.97
3484.4,18.241,27.068
3500,18.381,28.781
3515.6,19.305,26.928
3531.3,16.56,27.87
3546.9,16.593,27.231
3562.5,18.449,27.913
3578.1,17.902,28.452
3593.8,21.176,27.832
3609.4,18.273,26.591
3625,21.388,28.546
3640.6,17.983,28.368
3656.3,19.15,27.869
3671.9,20.2,28.205
3687.5,19.294,27.849
3703.1,17.608,27.446
3718.8,19.94,28.637
3734.4,20.627,28.214
3750,19.653,28.007
3765.6,18.663,28.698
3781.3,21.134,27.916
3796.9,17.978,28.943
3812.5,18.259,28.411
3828.1,20.346,29.055
3843.8,16.245,28.056
3859.4,20.411,27.635
3875,18.252,28.889
3890.6,21.193,28.518
3906.3,17.802,29.336
3921.9,20.351,29.135
3937.5,18.42,28.092
3953.1,19.475,29.326
3968.8,19.097,29.06
3984.4,17.822,28.138
4000,22.806,30.339
4015.6,20.083,29.164
4031.3,18.643,28.861
4046.9,18.989,29.989
4062.5,18.532,28.751
4078.1,18.563,29.325
4093.8,21.476,29.471
4109.4,19.408,29.354
4125,18.073,30.074
4140.6,19.39,28.463
4156.3,19.543,30.39
4171.9,20.239,29.037
4187.5,19.678,30.072
4203.1,20.305,29.957
4218.8,21.197,30.415
4234.4,20.172,29.251
4250,20.488,29.83
4265.6,18.21,30.759
4281.3,20.138,30.406
4296.9,21.197,29.748
4312.5,22.077,30.987
4328.1,19.212,29.431
4343.8,22.342,31.611
4359.4,18.338,29.884
4375,21.528,30.931
4390.6,21.587,30.547
4406.3,20.508,30.44
4421.9,22.141,30.76
4437.5,20.251,31.371
4453.1,20.136,30.881
4468.8,21.038,30.799
4484.4,21.911,31.283
4500,19.206,31.23
4515.6,22.857,31.505
4531.3,21.505,31.405
4546.9,20.558,31.173
4562.5,19.784,32.62
4578.1,22,31
4593.8,20.686,32.344
4609.4,21.709,31.311
4625,22.044,31.692
4640.6,21.798,32.9
4656.3,23.948,31.571
4671.9,24.084,32.775
4687.5,24.09,32.758
4703.1,21.522,32.533
4718.8,25.105,33.26
4734.4,22.423,32.385
4750,21.073,33.146
4765.6,25.001,32.99
4781.3,22.416,32.281
4796.9,24.605,33.251
4812.5,24.348,33.973
4828.1,22.095,32.053
4843.8,26.212,34.278
