FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
15.625,51.588,45.082
31.25,45.025,41.895
46.875,46.508,41.396
62.5,56.795,51.7
78.125,89.179,84.077
93.75,95.013,89.903
109.38,85.956,80.854
125,58.324,53.702
140.63,54.219,49.944
156.25,52.726,48.389
171.88,64.164,59.585
187.5,68.004,63.575
203.13,58.026,53.465
218.75,45.176,41.019
234.38,43.377,39.251
250,42.896,38.668
265.63,55.881,53.563
281.25,58.638,56.489
296.88,46.696,43.996
312.5,37.602,33.308
328.13,37.603,33.063
343.75,36.509,33.672
359.38,47.847,48.531
375,49.296,50.259
390.63,37.772,36.835
406.25,34.924,30.655
421.88,33.528,27.861
437.5,33.759,30.468
453.13,39.243,41.926
468.75,40.189,42.371
484.38,32.138,28.936
500,32.173,27.273
515.63,32.47,28.273
531.25,31.38,26.855
546.88,39.165,33.924
562.5,36.605,34.073
578.13,31.166,26.151
593.75,31.098,26.939
609.38,29.732,24.389
625,30.3,26.517
640.63,35.924,29.603
656.25,32.814,28.264
671.88,29.027,24.076
687.5,29.557,27.693
703.13,30.453,25.87
718.75,28.132,28.688
734.38,36.915,37.061
750,32.239,33.071
765.63,29.305,23.741
781.25,28.98,24.733
796.88,27.226,22.692
812.5,30.679,28.18
828.13,30.215,30.273
843.75,30.335,28.397
859.38,27.927,25.003
875,27.81,23.82
890.63,28.377,24.541
906.25,28.717,24.422
921.88,29.824,30.328
937.5,28.827,25.106
953.13,27.035,25.191
968.75,25.922,20.528
984.38,26.95,23.514
1000,25.609,23.265
1015.6,33.725,22.635
1031.3,23.118,23.127
1046.9,27.987,21.353
1062.5,25.609,24.365
1078.1,24.821,21.523
1093.8,30.103,26.629
1109.4,32.199,27.532
1125,27.994,26.309
1140.6,28.104,25.808
1156.3,24.455,25.103
1171.9,28.581,27.73
1187.5,28.721,23.726
1203.1,27.888,23.75
1218.8,26.096,21.976
1234.4,24.184,21.084
1250,24.187,21.119
1265.6,26.559,23.569
1281.3,31.361,27.795
1296.9,31.64,27.692
1312.5,25.679,22.656
1328.1,23.196,21.816
1343.8,24.294,19.724
1359.4,23.593,19.898
1375,31.139,26.623
1390.6,30.838,28.403
1406.3,25.836,18.945
1421.9,22.168,22.517
1437.5,23.394,18.868
1453.1,25.388,23.102
1468.8,31.463,29.431
1484.4,31.097,28.294
1500,24.288,20.888
1515.6,24.12,19.575
1531.3,22.819,18.113
1546.9,24.778,22.247
1562.5,27.446,27.981
1578.1,27.002,26.762
1593.8,23.821,20.522
1609.4,23.482,21.475
1625,22.717,21.156
1640.6,24.228,22.038
1656.3,28.71,29.372
1671.9,27.226,26.517
1687.5,21.466,19.663
1703.1,22.906,20.82
1718.8,24.13,23.659
1734.4,20.334,19.878
1750,28.127,29.304
1765.6,20.934,22.357
1781.3,20.601,20.618
1796.9,22.613,19.034
1812.5,22.534,23.357
1828.1,23.643,22.621
1843.8,23.31,26.065
1859.4,21.741,17.327
1875,22.981,20.8
1890.6,21.672,19.814
1906.3,22.412,19.806
1921.9,23.569,20.7
1937.5,24.76,20.497
1953.1,21.518,19.977
1968.8,21.583,19.08
1984.4,21.471,17.557
2000,22.879,21.52
2015.6,23.643,22.586
2031.3,23.24,24.006
2046.9,23.541,21.26
2062.5,19.454,16.272
2078.1,21.189,20.065
2093.8,23.249,21.392
2109.4,20.686,15.856
2125,23.779,20.432
2140.6,19.095,20.931
2156.3,22.316,20.074
2171.9,20.05,18.47
2187.5,21.2,21.551
2203.1,18.819,21.944
2218.8,23.284,22.707
2234.4,20.022,17.548
2250,20.757,19.688
2265.6,20.65,18.46
2281.3,20.571,19.431
2296.9,23.413,23.448
2312.5,23.383,23.559
2328.1,22.061,18.229
2343.8,21.394,18.056
2359.4,18.494,19.096
2375,21.239,19.579
2390.6,22.491,20.349
2406.3,22.248,20.347
2421.9,20.371,16.306
2437.5,20.442,17.18
2453.1,20.975,19.242
2468.8,19.428,17.706
2484.4,21.872,20.942
2500,19.865,21.259
2515.6,22.494,18.687
2531.3,17.345,19.36
2546.9,21.549,17.191
2562.5,16.486,19.276
2578.1,24.027,21.344
2593.8,16.642,16.954
2609.4,19.127,16.953
2625,19.124,20.879
2640.6,22.189,18.636
2656.3,20.256,21.914
2671.9,20.575,19.304
2687.5,21.159,19.566
2703.1,19.351,18.359
2718.8,21.697,20.451
2734.4,20.137,18.774
2750,20.756,15.532
2765.6,21.313,19.829
2781.3,18.804,18.589
2796.9,19.96,17.414
2812.5,19.562,16.437
2828.1,19.665,19.789
2843.8,19.29,16.771
2859.4,19.29,20.269
2875,18.834,18.818
2890.6,19.922,16.052
2906.3,21.083,19.389
2921.9,19.994,19.57
2937.5,17.504,17.392
2953.1,21.288,20.586
2968.8,20.236,18.661
2984.4,20.868,16.764
3000,21.684,20.776
3015.6,17.39,19.341
3031.3,19.858,17.335
3046.9,19.011,17.055
3062.5,20.498,20.478
3078.1,16.416,15.853
3093.8,21.059,17.742
3109.4,18.858,18.996
3125,20.457,17.453
3140.6,21.877,16.134
3156.3,17.621,18.056
3171.9,19.939,20.361
3187.5,19.441,16.474
3203.1,15.933,16.937
3218.8,19.835,17.772
3234.4,18.954,18.254
3250,22.229,17.622
3265.6,18.435,17.15
3281.3,20.329,19.501
3296.9,18.829,18.025
3312.5,19.381,18.374
3328.1,18.476,17.846
3343.8,19.834,18.573
3359.4,19.164,17.658
3375,19.819,20.161
3390.6,17.689,18.379
3406.3,19.341,18.529
3421.9,19.715,18.678
3437.5,17.342,19.172
3453.1,18.26,15.623
3468.8,16.027,17.617
3484.4,20.728,21.625
3500,19.774,19.852
3515.6,19.617,14.302
3531.3,17.45,19.829
3546.9,17.95,20.15
3562.5,19.987,17.93
3578.1,20.738,17.573
3593.8,16.197,18.765
3609.4,19.744,14.422
3625,16.884,15.414
3640.6,18.554,21.023
3656.3,18.012,18.956
3671.9,17.451,22.181
3687.5,18.677,20.514
3703.1,15.593,16.17
3718.8,17.553,16.668
3734.4,20.047,16.397
3750,17.445,18.518
3765.6,19.093,17.328
3781.3,20.779,18.16
3796.9,18.086,18.262
3812.5,17.887,17.946
3828.1,18.479,18.183
3843.8,20.101,17.446
3859.4,18.204,17.493
3875,19.057,19.186
3890.6,16.249,18.708
3906.3,17.835,19.97
3921.9,19.978,19.338
3937.5,19.013,18.48
3953.1,16.355,20.336
3968.8,21.232,20.5
3984.4,18.39,18.001
4000,19.814,19.693
4015.6,19.098,18.026
4031.3,16.226,19.119
4046.9,20.756,17.504
4062.5,18.595,19.881
4078.1,18.198,17.772
4093.8,16.856,18.166
4109.4,17.928,19.141
4125,19.034,21.939
4140.6,19.665,17.692
4156.3,18.886,15.436
4171.9,18.291,15.288
4187.5,17.439,17.37
4203.1,20.815,18.702
4218.8,16.336,17.732
4234.4,19.953,18.245
4250,19.288,18.758
4265.6,17.52,18.827
4281.3,19.598,17.185
4296.9,19.931,19.734
4312.5,17.376,16.547
4328.1,19.351,16.773
4343.8,18.784,18.418
4359.4,19.604,19.152
4375,17.062,17.377
4390.6,19.148,16.259
4406.3,17.255,17.34
4421.9,18.093,19.536
4437.5,19.652,19.07
4453.1,18.206,19.749
4468.8,16.669,16.106
4484.4,18.505,18.69
4500,17.692,14.111
4515.6,18.859,18.069
4531.3,18.768,17.858
4546.9,17.951,18.217
4562.5,18.457,14.654
4578.1,17.816,17.817
4593.8,16.296,16.707
4609.4,18.981,16.056
4625,19.564,18.537
4640.6,16.066,17.279
4656.3,19.985,19.524
4671.9,17.485,18.01
4687.5,17.544,18.67
4703.1,23.556,18.507
4718.8,19.294,19.579
4734.4,19.146,20.167
4750,15.564,18.022
4765.6,19.984,18.242
4781.3,14.607,20.066
4796.9,21.256,20.015
4812.5,19.182,18.156
4828.1,17.21,20.223
4843.8,20.104,18.174
4859.4,18.008,18.003
4875,18.009,19.097
4890.6,19.875,19.928
4906.3,18.828,17.238
4921.9,21.25,18.389
4937.5,17.903,18.128
4953.1,19.337,17.853
4968.8,19.068,18.462
4984.4,18.224,19.874
5000,20.112,19.985
5015.6,17.538,18.114
5031.3,17.623,18.021
5046.9,19.516,17.76
5062.5,20.07,19.778
5078.1,19.508,18.885
5093.8,16.815,16.759
5109.4,17.171,16.038
5125,19.439,17.848
5140.6,17.998,14.585
5156.3,21.635,20.383
5171.9,18.931,19.892
5187.5,16.724,19.717
5203.1,15.78,15.294
5218.8,18.231,18.361
5234.4,19.363,17.625
5250,21.382,21.547
5265.6,18.424,20.154
5281.3,17.167,15.54
5296.9,18.625,16.706
5312.5,14.534,17.345
5328.1,19.655,17.598
5343.8,20.545,18.466
5359.4,20.25,19.369
5375,18.336,17.867
5390.6,18.416,20.158
5406.3,16.103,17.134
5421.9,20.988,17.812
5437.5,18.718,16.984
5453.1,18.116,16.878
5468.8,19.797,20.927
5484.4,16.166,19.447
5500,17.757,20.551
5515.6,17.433,18.703
5531.3,18.725,19.862
5546.9,18.149,20.67
5562.5,21.375,18.083
5578.1,17.22,16.883
5593.8,19.821,17.211
5609.4,19.806,16.594
5625,16.297,16.099
5640.6,16.274,16.553
5656.3,15.647,15.44
5671.9,18.429,19.01
5687.5,15.932,17.728
5703.1,15.892,18.646
5718.8,17.603,19.619
5734.4,19.227,16.846
5750,17.542,19.182
5765.6,14.482,17.366
5781.3,17.741,18.622
5796.9,19.524,17.466
5812.5,18.94,16.524
5828.1,16.905,17.305
5843.8,18.179,18.091
5859.4,18.838,18.047
5875,15.022,18.677
5890.6,17.934,17.925
5906.3,18.345,14.222
5921.9,17.095,17.235
5937.5,16.422,20.367
5953.1,16.301,18.214
5968.8,15.554,18.201
5984.4,16.889,18.087
6000,17.387,18.614
6015.6,17.605,16.837
6031.3,16.578,15.948
6046.9,18.011,15.833
6062.5,21.124,20.134
6078.1,18.379,18.761
6093.8,16.869,15.25
6109.4,16.723,19.055
6125,15.732,19.15
6140.6,14.97,16.576
6156.3,16.234,16.428
6171.9,18.503,13.449
6187.5,16.678,15.491
6203.1,14.797,17.12
6218.8,15.754,18.221
6234.4,14.895,17.895
6250,17.723,17.669
6265.6,17.211,17.553
6281.3,16.625,17.073
6296.9,14.442,15.902
6312.5,12.584,18.368
6328.1,18.907,16.377
6343.8,17.12,14.096
6359.4,17.81,16.069
6375,15.9,18.501
6390.6,16.542,14.487
6406.3,18.237,16.632
6421.9,15.479,17.052
6437.5,16.915,16.729
6453.1,16.172,15.268
6468.8,16.849,15.88
6484.4,15.837,16.502
6500,16.282,15.73
6515.6,14.507,15.772
6531.3,18.24,18.49
6546.9,15.351,17.079
6562.5,16.587,17.55
6578.1,14.785,15.176
6593.8,16.84,15.718
6609.4,17.021,16.579
6625,19.609,19.154
6640.6,16.449,17.892
6656.3,15.877,16.762
6671.9,18.692,17.031
6687.5,14.718,15.674
6703.1,15.495,16.37
6718.8,15.601,15.291
6734.4,15.544,17.88
6750,17.322,14.831
6765.6,14.897,15.287
6781.3,16.787,15.881
6796.9,15.795,14.368
6812.5,16.72,16.326
6828.1,13.02,16.11
6843.8,16.179,12.853
6859.4,16.398,16.29
6875,13.923,15.08
6890.6,14.817,14.498
6906.3,15.787,15.131
6921.9,15.647,17.36
6937.5,15.865,16.216
6953.1,13.352,15.476
6968.8,15.036,14.351
6984.4,16.359,17.512
7000,15.071,16.274
7015.6,14.742,15.013
7031.3,14.513,15.949
7046.9,13.779,14.297
7062.5,16.278,17.211
7078.1,15.03,15.939
7093.8,16.174,14.234
7109.4,12.169,14.373
7125,14.075,14.134
7140.6,14.001,14.461
7156.3,14.944,14.771
7171.9,16.786,14.964
7187.5,15.409,16.486
7203.1,16.835,14.259
7218.8,13.24,15.521
7234.4,15.468,12.029
7250,16.57,14.941
7265.6,15.796,12.762
7281.3,12.161,15.798
7296.9,15.803,15.151
7312.5,14.309,15.725
7328.1,13.35,11.738
7343.8,15.904,13.031
7359.4,13.435,10.486
7375,15.646,12.787
7390.6,14.252,12.802
7406.3,15.352,10.569
7421.9,13.35,12.872
7437.5,15.272,14.09
7453.1,15.109,13.32
7468.8,11.968,14.299
7484.4,14.378,13.944
7500,12.948,13.173
7515.6,16.312,10.264
7531.3,12.388,11.668
7546.9,12.121,14.962
7562.5,14.733,14.949
7578.1,12.84,14.204
7593.8,15.842,13.233
7609.4,11.727,10.343
7625,14.716,9.8454
7640.6,14.498,15.482
7656.3,13.884,14.034
7671.9,16.259,12.955
7687.5,13.725,12.85
7703.1,14.645,12.129
7718.8,15.049,10.897
7734.4,11.52,13.027
7750,16.069,13.031
7765.6,11.552,9.1613
7781.3,14.675,10.879
7796.9,15.19,12.929
7812.5,14.913,14.261
7828.1,13.04,13.869
7843.8,12.797,10.417
7859.4,14.727,8.756
7875,12.982,16.146
7890.6,16.867,13.568
7906.3,12.521,14.815
7921.9,13.335,12.253
7937.5,14.507,14.15
7953.1,13.22,10.178
7968.8,15.362,10.401
7984.4,14.517,14.164
