FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,46.183,41.583
86.133,34.544,30.679
129.2,29.829,25.541
172.27,27.963,23.955
215.33,26.735,25.047
258.4,25.521,24.421
301.46,24.43,23.942
344.53,24.14,22.798
387.6,30.959,30.95
430.66,54.599,55.118
473.73,57.831,58.407
516.8,45.587,46.236
559.86,23.365,23.471
602.93,21.746,22.512
646,22.761,22.949
689.06,21.861,23.72
732.13,22.357,21.978
775.2,22.084,22.58
818.26,22.786,23.372
861.33,24.344,23.864
904.39,26.335,26.374
947.46,26.227,26.906
990.53,26.095,26.143
1033.6,25.478,26.149
1076.7,22.756,24.353
1119.7,23.513,24.463
1162.8,21.015,22.592
1205.9,20.485,23.327
1248.9,20.961,22.738
1292,22.022,22.745
1335.1,23.543,24.482
1378.1,29.889,30.459
1421.2,26.257,27.51
1464.3,21.233,21.747
1507.3,20.851,21.861
1550.4,19.308,22.562
1593.5,21.972,23.513
1636.5,20.455,22.415
1679.6,19.999,20.398
1722.7,21.045,20.298
1765.7,20.438,19.968
1808.8,21.664,21.999
1851.9,22.409,25.6
1894.9,19.97,22.942
1938,19.965,21.477
1981.1,20.451,22.981
2024.1,19.962,20.65
2067.2,20.256,19.417
2110.3,20.202,20.552
2153.3,20.545,21.517
2196.4,21.426,20.766
2239.5,20.743,19.467
2282.5,21.648,19.48
2325.6,21.47,20.178
2368.7,19.54,21.258
2411.7,18.501,20.92
2454.8,18.834,21.474
2497.9,20.143,20.628
2540.9,18.975,21.554
2584,19.865,21.445
2627.1,19.545,22.564
2670.1,20.136,22.668
2713.2,20.8,20.828
2756.3,20.621,20.353
2799.3,19.965,21
2842.4,20.405,21.324
2885.4,19.759,20.07
2928.5,19.979,21.024
2971.6,21.173,21.513
3014.6,19.34,21.222
3057.7,20.093,21.774
3100.8,20.495,20.488
3143.8,19.779,19.174
3186.9,20.423,22.14
3230,18.921,21.529
3273,19.228,21.346
3316.1,20.045,21.609
3359.2,19.133,22.87
3402.2,20.833,20.597
3445.3,19.684,21.557
3488.4,19.986,21.507
3531.4,20.637,21.723
3574.5,20.582,21.93
3617.6,21.588,21.591
3660.6,21.459,21.52
3703.7,21.199,20.29
3746.8,19.359,20.379
3789.8,19.609,21.083
3832.9,19.393,23.302
3876,20.736,21.293
3919,21.597,19.196
