FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,47.05,40.449
86.133,35.536,30.776
129.2,30.384,26.063
172.27,28.159,24.546
215.33,26.761,24.018
258.4,25.641,21.842
301.46,25.846,23.116
344.53,24.482,22.844
387.6,23.498,21.537
430.66,23.344,20.688
473.73,22.717,20.002
516.8,22.068,21.542
559.86,23.333,21.367
602.93,22.347,22.022
646,22.092,20.743
689.06,23.217,22.043
732.13,22.481,21.6
775.2,22.657,21.03
818.26,23.041,21.878
861.33,24.771,24.014
904.39,27.192,25.593
947.46,26.378,25.33
990.53,25.585,23.652
1033.6,24.61,23.295
1076.7,23.034,22.243
1119.7,22.264,22.745
1162.8,21.384,20.09
1205.9,21.295,21.795
1248.9,21.466,20.137
1292,21.453,21.076
1335.1,20.544,21.108
1378.1,19.146,21.281
1421.2,20.731,20.286
1464.3,20.102,17.995
1507.3,20.298,21.182
1550.4,19.925,21.359
1593.5,18.987,20.135
1636.5,20.917,20.668
1679.6,20.236,20.115
1722.7,20.004,21.712
1765.7,18.798,22.705
1808.8,20.852,21.874
1851.9,22.219,20.24
1894.9,19.949,19.747
1938,19.344,20.624
1981.1,20.725,20.996
2024.1,19.844,20.306
2067.2,19.202,19.418
2110.3,19.678,19.968
2153.3,20.17,20.114
2196.4,19.329,20.132
2239.5,19.776,20.641
2282.5,19.262,21.181
2325.6,18.039,20.482
2368.7,19.067,20.726
2411.7,18.012,20.529
2454.8,19.133,19.786
2497.9,19.578,20.776
2540.9,19.647,21.852
2584,20.198,20.972
2627.1,19.543,21.327
2670.1,21.596,20.415
2713.2,21.449,21.118
2756.3,21.469,22.265
2799.3,20.047,20.808
2842.4,19.215,21.395
2885.4,19.947,20.559
2928.5,20.154,20.768
2971.6,19.033,20.264
3014.6,20.367,21.454
3057.7,20.26,19.64
3100.8,19.82,19.569
3143.8,20.66,18.944
3186.9,20.757,20.196
3230,18.542,21.237
3273,20.155,20.763
3316.1,20.426,20.39
3359.2,20.128,20.614
3402.2,18.666,21.005
3445.3,18.316,20.332
