FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,56.845,56.183
86.133,54.918,54.161
129.2,84.03,83.54
172.27,96.393,95.901
215.33,93.279,92.786
258.4,69.548,69.046
301.46,48.54,48.221
344.53,53.681,55.528
387.6,54.229,56.325
430.66,52.149,51.604
473.73,51.337,50.873
516.8,50.94,51.273
559.86,51.525,53.322
602.93,49.196,49.105
646,48.312,47.757
689.06,47.758,47.387
732.13,47.054,46.447
775.2,46.832,46.486
818.26,46.006,45.426
861.33,45.661,45.248
904.39,45.079,44.728
947.46,44.885,44.677
990.53,44.479,43.71
1033.6,43.809,43.42
1076.7,43.775,43.235
1119.7,43.146,43.048
1162.8,42.704,42.31
1205.9,42.504,42.051
1248.9,42.62,42.843
1292,42.238,42.196
1335.1,41.733,41.319
1378.1,41.473,41.158
1421.2,41.105,40.744
1464.3,40.406,40.547
1507.3,40.907,40.173
1550.4,40.13,39.495
1593.5,40.005,39.675
1636.5,39.98,39.195
1679.6,39.409,39.077
1722.7,39.604,38.942
1765.7,38.917,38.775
1808.8,38.788,38.259
1851.9,38.835,38.074
1894.9,38.198,38.154
1938,38.72,37.871
1981.1,37.86,37.572
2024.1,37.926,37.736
2067.2,37.836,37.475
2110.3,37.443,36.987
2153.3,37.248,36.906
2196.4,37.098,36.567
2239.5,37.291,36.774
2282.5,36.689,36.017
2325.6,36.891,36.383
2368.7,36.637,36.262
2411.7,36.364,35.565
2454.8,36.32,36.213
2497.9,36.272,35.332
2540.9,35.67,35.658
2584,36.253,35.468
2627.1,35.18,34.986
2670.1,36.006,35.524
2713.2,35.212,34.566
2756.3,35.548,35.035
2799.3,34.711,34.664
2842.4,35.051,34.305
2885.4,34.967,34.492
2928.5,34.802,34.299
2971.6,34.602,34.165
3014.6,34.691,33.746
3057.7,34.605,34.473
3100.8,34.197,33.579
3143.8,34.042,33.879
3186.9,34.217,33.363
3230,33.918,33.522
3273,33.477,33.551
3316.1,34.135,33.238
3359.2,33.401,32.947
3402.2,33.6,33.534
3445.3,33.544,32.902
3488.4,33.322,32.554
3531.4,32.934,33.544
3574.5,33.13,32.288
3617.6,33.45,32.208
3660.6,32.607,32.411
3703.7,32.761,32.545
3746.8,32.66,32.477
3789.8,33.022,32.246
3832.9,32.263,32.382
3876,32.821,31.895
3919,32.185,31.674
3962.1,32.39,31.97
4005.2,32.313,31.887
4048.2,31.679,31.815
4091.3,32.183,31.691
4134.4,32.105,31.612
4177.4,31.537,31.472
4220.5,32.308,31.724
4263.6,31.338,30.932
4306.6,31.304,31.038
4349.7,32.148,31.403
4392.8,31.036,30.2
4435.8,32.012,31.794
4478.9,30.947,30.713
4522,30.877,30.924
4565,30.727,30.401
4608.1,32.022,31.403
4651.2,31.272,31.715
4694.2,30.375,29.392
4737.3,31.281,31.102
4780.4,30.765,30.306
4823.4,30.984,30.627
4866.5,30.58,30.484
4909.6,30.128,29.791
4952.6,30.865,30.346
4995.7,30.653,30.251
5038.8,30.37,29.293
5081.8,29.955,29.746
5124.9,30.333,30.088
5168,30.59,31.227
5211,29.225,28.72
5254.1,30.696,30.117
5297.2,29.912,30.399
5340.2,30.405,28.803
5383.3,29.339,29.826
5426.4,30.471,30.031
5469.4,29.582,28.61
5512.5,29.775,29.565
5555.6,29.573,30.347
5598.6,30.368,28.751
5641.7,29.418,29.167
5684.8,29.012,29.569
5727.8,30.273,28.202
5770.9,30.017,29.498
5814,28.51,29.411
5857,30.279,28.552
5900.1,29.15,29.311
5943.2,29.304,29.049
5986.2,29.685,28.834
6029.3,29.356,28.522
6072.4,29.543,28.216
6115.4,29.506,29.448
6158.5,30.094,29.001
6201.6,29.374,28.183
6244.6,29.445,28.713
6287.7,29.324,28.839
6330.8,29.754,29.24
6373.8,29.271,28.37
6416.9,28.776,28.677
6460,28.902,29.033
6503,28.571,28.443
6546.1,29.133,28.318
6589.2,28.67,28.203
6632.2,29.094,28.563
6675.3,28.193,28.759
6718.4,29.237,28.081
6761.4,28.503,29.886
6804.5,28.985,27.824
6847.6,29.543,29.549
6890.6,29.113,28.566
6933.7,28.868,27.924
6976.8,28.452,27.917
7019.8,28.139,27.537
7062.9,28.568,27.809
7106,28.991,27.991
7149,27.668,28.433
7192.1,28.589,28.07
7235.2,27.774,28.845
7278.2,27.479,28.72
7321.3,28.396,28.221
7364.4,27.503,27.424
7407.4,28.614,29.067
7450.5,27.507,27.468
7493.6,26.999,27.283
7536.6,27.542,27.678
7579.7,27.804,28.578
7622.8,27.251,27.266
7665.8,27.585,27.74
7708.9,26.797,27.376
7752,28.15,27.465
7795,26.955,26.632
7838.1,26.867,26.597
7881.2,28.023,27.941
7924.2,27.168,26.862
7967.3,26.826,26.282
8010.4,26.905,26.281
8053.4,27.802,27.94
8096.5,27.465,26.594
8139.6,26.477,27.707
8182.6,27.419,27.531
8225.7,26.469,27.005
8268.8,27.453,25.934
8311.8,26.02,28.001
8354.9,27.951,26.627
8397.9,26.061,26.114
8441,26.677,26.742
8484.1,27.557,27.92
8527.1,27.2,27.177
8570.2,26.726,27.142
8613.3,28.415,26.297
8656.3,26.474,26.121
8699.4,28.139,27.06
8742.5,26.126,26.621
8785.5,27.522,27.28
8828.6,26.911,26.961
8871.7,26.978,27.201
8914.7,27.607,27.159
8957.8,25.705,27.006
9000.9,27.553,27.015
9043.9,27.155,28.292
9087,26.896,26.542
9130.1,26.656,26.803
9173.1,25.908,26.876
9216.2,26.048,26.667
9259.3,27.863,28.03
9302.3,24.794,28.051
9345.4,27.296,27.319
9388.5,26.677,26.394
9431.5,27.245,28.397
9474.6,26.755,24.886
9517.7,27.456,27.39
9560.7,27.303,25.731
9603.8,25.67,25.276
9646.9,25.837,27.154
9689.9,26.809,25.862
9733,26.455,25.66
9776.1,27.685,27.038
9819.1,27.481,27.062
9862.2,26.258,25.036
9905.3,26.438,27.539
9948.3,25.248,24.328
9991.4,26.072,27.384
10034,27.129,26.129
10078,24.886,25.358
10121,25.95,26.535
10164,26.052,24.562
10207,26.547,26.649
10250,26.139,26.416
10293,25.074,26.501
10336,26.658,26.207
10379,25.265,25.954
10422,26.474,25.756
10465,26.462,26.117
10508,23.867,25.621
10551,26.527,26.097
10594,24.812,26.802
10637,25.736,26.126
10680,26.847,26.031
10724,25.315,26.926
10767,23.868,24.872
10810,26.747,26.395
10853,22.767,24.361
10896,26.875,27.392
10939,24.477,24.037
10982,27.243,26.154
11025,24.523,23.897
11068,24.914,25.232
11111,26.157,26.104
11154,25.583,24.862
11197,25.698,24.843
11240,25.134,25.23
11283,26.297,26.023
11326,24.841,25.079
11370,24.709,25.79
11413,25.335,25.286
11456,25.711,26.417
11499,25.484,24.999
11542,24.77,25.752
11585,24.775,24.116
11628,24.66,26.129
11671,25.428,25.601
11714,24.741,25.818
11757,25.812,24.668
11800,26.166,25.693
11843,25.527,24.824
11886,24.921,24.485
11929,25.726,25.05
11972,24.922,25.913
12016,25.248,24.465
12059,24.379,25.269
12102,25.316,24.053
12145,25.854,25.375
12188,24.418,24.9
12231,25.925,24.116
12274,24.208,25.858
12317,25.599,23.105
12360,25.554,25.215
12403,23.954,25.511
12446,24.634,25.003
12489,24.884,24.981
12532,25.088,25.079
12575,23.909,25.483
12618,25.4,25.183
12662,25.246,24.133
12705,24.782,24.964
12748,25.289,24.725
12791,24.329,25.996
12834,23.998,25.122
12877,24.775,25.012
12920,23.906,24.558
12963,24.456,25.828
13006,24.931,25.152
13049,25.796,24.141
13092,24.686,25.017
13135,25.032,24.796
13178,24.673,24.941
13221,24.287,24.379
13264,25.541,25.397
13308,24.193,24.115
13351,23.921,24.988
13394,25.426,25.088
13437,24.399,25.602
13480,25.173,24.921
13523,23.147,24.635
13566,25.624,25.205
13609,24.545,25.008
13652,23.214,24.093
13695,24.675,24.531
13738,24.333,24.537
13781,25.475,24.943
13824,22.699,24.513
13867,24.377,24.936
13910,24.854,25.774
13954,24.239,24.495
13997,25.785,23.071
14040,24.777,25.815
14083,23.716,23.472
14126,24.553,24.434
14169,23.873,24.96
14212,24.151,24.35
14255,25.542,24.486
14298,24.562,21.72
14341,24.98,25.306
14384,24.924,24.382
14427,23.133,24.714
14470,25.932,24.967
14513,23.473,24.452
14556,25.45,24.856
14600,23.633,23.439
14643,24.175,24.568
14686,25.531,24.811
14729,23.314,24.228
14772,23.754,25.195
14815,25.231,24.13
14858,24.246,24.696
14901,23.184,23.909
14944,23.334,25.711
14987,25.048,24.464
15030,24.209,23.969
15073,23.767,24.934
15116,24.399,22.932
15159,23.85,24.473
15202,25.679,24.523
15246,22.552,24.53
15289,24.573,25.319
15332,23.062,25.255
15375,24.144,25.07
15418,22.951,23.06
15461,24.487,24.551
15504,24.163,23.876
15547,24.214,24.853
15590,24.394,23.463
15633,23.555,23.606
15676,24.234,25.423
15719,23.42,24.31
15762,24.725,24.69
15805,23.826,25.228
15848,25.009,21.66
15892,22.819,24.347
15935,24.557,22.831
15978,23.018,24.532
16021,24.392,24.136
16064,23.999,24.671
16107,23.662,23.539
16150,24.79,24.003
16193,23.366,22.28
16236,24.623,25.187
16279,23.219,24.045
16322,24.551,25.323
