FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,48.424,46.918
86.133,46.293,46.386
129.2,45.035,46.008
172.27,45.598,46.176
215.33,46.025,46.674
258.4,46.007,46.841
301.46,46.644,47.453
344.53,47.514,48.111
387.6,47.792,48.756
430.66,48.789,49.615
473.73,49.536,50.268
516.8,50.388,51.197
559.86,50.758,51.471
602.93,49.699,50.495
646,56.74,57.517
689.06,91.371,92.168
732.13,100.88,101.67
775.2,95.455,96.249
818.26,63.954,64.686
861.33,49.823,50.011
904.39,50.631,51.374
947.46,50.582,51.238
990.53,49.096,49.915
1033.6,48.724,49.478
1076.7,47.365,48.141
1119.7,46.793,47.675
1162.8,46.02,46.7
1205.9,45.397,46.289
1248.9,44.517,45.285
1292,43.881,44.551
1335.1,43.543,44.33
1378.1,42.807,43.756
1421.2,44.409,44.306
1464.3,49.843,48.772
1507.3,47.873,46.468
1550.4,41.075,41.893
1593.5,40.507,41.087
1636.5,40.443,41.443
1679.6,39.804,40.512
1722.7,39.546,40.37
1765.7,39.373,40.12
1808.8,38.938,39.417
1851.9,38.513,39.54
1894.9,38.434,38.882
1938,38.006,38.993
1981.1,37.531,38.577
2024.1,37.523,37.995
2067.2,37.832,38.587
2110.3,36.85,37.499
2153.3,36.871,37.625
2196.4,37.066,37.432
2239.5,36.569,37.522
2282.5,35.873,37.071
2325.6,36.016,36.594
2368.7,35.534,36.506
2411.7,35.683,36.233
2454.8,35.549,36.283
2497.9,34.872,35.883
2540.9,35.173,35.77
2584,34.349,35.24
2627.1,34.969,35.95
2670.1,33.746,34.765
2713.2,34.902,35.502
2756.3,33.91,34.508
2799.3,34.048,34.735
2842.4,33.847,35.177
2885.4,33.805,34.441
2928.5,33.068,34.283
2971.6,33.707,34.62
3014.6,32.774,34.053
3057.7,33.57,34.055
3100.8,33.155,33.404
3143.8,32.769,33.743
3186.9,32.932,33.266
3230,32.315,33.228
3273,32.774,33.559
3316.1,31.877,32.512
3359.2,32.335,33.285
3402.2,31.891,32.629
3445.3,31.976,32.796
3488.4,32.188,32.925
3531.4,31.522,32.299
3574.5,31.664,32.833
3617.6,31.643,31.823
3660.6,31.414,32.759
3703.7,31.289,32.73
3746.8,31.676,32.42
3789.8,31.261,31.468
3832.9,30.671,32.226
3876,31.021,32.016
3919,30.485,31.119
3962.1,31.14,31.927
4005.2,30.67,31.946
4048.2,30.413,30.693
4091.3,30.018,31.764
4134.4,30.99,31.454
4177.4,30.005,31.164
4220.5,30.306,31.165
4263.6,30.005,31.083
4306.6,30.581,30.45
4349.7,29.939,31.273
4392.8,29.944,31.002
4435.8,29.639,31.882
4478.9,30.209,31.301
4522,29.492,29.781
4565,29.239,30.281
4608.1,29.913,30.417
4651.2,29.57,29.683
4694.2,29.198,30.196
4737.3,29.216,30.214
4780.4,29.687,30.287
4823.4,29.048,30.218
4866.5,28.74,29.541
4909.6,29.521,29.946
4952.6,28.731,30.37
4995.7,28.618,29.276
5038.8,29.607,30.455
5081.8,28.439,29.655
5124.9,28.729,30.13
5168,29.346,30.537
5211,28.148,29.988
5254.1,28.347,28.917
5297.2,28.765,29.835
5340.2,28.168,27.779
5383.3,28.798,30.749
5426.4,27.596,27.08
5469.4,28.214,29.936
5512.5,28.51,28.48
5555.6,28.699,29.742
5598.6,27.058,27.926
5641.7,28.215,28.109
5684.8,27.861,29.285
5727.8,27.806,28.67
5770.9,27.688,27.783
5814,27.833,29.144
5857,28.259,29.262
5900.1,26.937,28.09
5943.2,28.077,28.298
5986.2,28.651,29.111
6029.3,26.356,28.03
6072.4,27.898,28.521
6115.4,27.169,27.253
6158.5,28.351,28.632
6201.6,27.13,28.285
6244.6,27.14,27.472
6287.7,28.381,28.708
6330.8,29.488,27.559
6373.8,27.269,29.189
6416.9,26.579,26.685
6460,27.565,28.418
6503,25.94,27.6
6546.1,28.427,27.715
6589.2,27.609,27.982
6632.2,26.623,27.036
6675.3,27.205,28.088
6718.4,26.059,27.251
6761.4,26.837,28.004
6804.5,26.782,27.738
6847.6,25.898,28.015
6890.6,27.263,27.031
6933.7,25.741,27.688
6976.8,25.664,26.529
7019.8,27.917,27.514
7062.9,25.862,26.702
7106,26.728,27.029
7149,26.578,27.67
7192.1,25.897,27.568
7235.2,25.685,27.175
7278.2,27.942,27.014
7321.3,25.456,27.551
7364.4,26.083,27.82
7407.4,25.684,27.281
7450.5,26.619,26.774
7493.6,27.248,26.883
7536.6,24.402,27.724
7579.7,26.047,26.863
7622.8,26.665,26.38
7665.8,25.389,26.715
7708.9,25.918,27.014
7752,25.322,26.786
7795,25.655,26.982
7838.1,25.352,25.482
7881.2,26.284,27.367
7924.2,25.824,25.524
7967.3,25.571,27.129
8010.4,25.74,26.307
8053.4,25.817,26.705
8096.5,24.605,27.375
8139.6,25.665,26.627
8182.6,25.819,26.099
8225.7,24.435,27.373
8268.8,25.767,26.315
8311.8,25.41,25.97
8354.9,24.676,26.664
8397.9,25.667,26.058
8441,25.042,25.538
8484.1,26.095,26.567
8527.1,25.976,26.812
8570.2,24.929,26.498
8613.3,26.334,24.927
8656.3,24.828,26.317
8699.4,26.415,25.57
8742.5,24.516,25.421
8785.5,26.372,26.542
8828.6,25.337,26.419
8871.7,24.855,26.852
8914.7,25.77,25.193
8957.8,24.449,25.632
9000.9,25.937,25.783
9043.9,24.323,25.667
9087,25.065,24.657
9130.1,23.863,26.473
9173.1,25.792,25.7
9216.2,24.418,25.898
9259.3,24.033,26.208
9302.3,25.567,25.175
9345.4,23.939,26.244
9388.5,26.032,25.657
9431.5,25.11,26.206
9474.6,23.679,24.097
9517.7,25.321,26.247
9560.7,26.57,27.933
9603.8,26.541,28.762
9646.9,25.327,26.352
9689.9,23.341,24.749
9733,24.7,25.342
9776.1,24.857,25.698
9819.1,25.239,25.748
9862.2,23.606,24.378
9905.3,24.503,26.443
9948.3,23.993,25.121
9991.4,22.918,24.849
10034,26.129,25.692
10078,22.514,25.394
10121,24.996,26.762
10164,24.852,24.215
10207,25.165,25.991
10250,24.796,24.381
10293,24.158,24.961
10336,24.847,27.353
10379,22.94,24.458
10422,25.69,26.867
10465,22.92,25.902
10508,22.901,25.871
10551,25.526,25.392
10594,23.054,26.044
10637,24.398,23.879
10680,24.049,25.023
10724,24.085,25.381
10767,23.448,24.007
10810,25.33,26.139
10853,24.376,24.698
10896,25.666,25.05
10939,22.224,25.439
10982,25.796,25.331
11025,23.087,25.636
11068,23.932,24.427
11111,23.937,24.937
11154,23.925,25.473
11197,24.618,24.961
11240,24.627,25.073
11283,22.846,25.101
11326,24.526,24.895
11370,23.648,25.695
11413,24.139,24.784
11456,24.745,26.172
11499,24.505,24.024
11542,23.774,24.51
11585,23.678,24.566
11628,23.094,23.518
11671,25.248,24.737
11714,23.418,24.729
11757,24.204,24.671
11800,22.943,26.169
11843,24.274,24.093
11886,24.705,25.638
11929,24.652,24.105
11972,24.289,24.746
12016,23.377,23.78
12059,23.725,24.198
12102,23.129,24.588
12145,22.703,24.086
12188,25.885,25.366
12231,22.042,23.525
12274,24.636,24.718
12317,22.117,25.404
12360,24.075,24.62
12403,21.78,23.888
12446,24.38,25.126
12489,24.712,24.756
12532,23.091,24.173
12575,26.313,24.673
12618,23.569,25.801
12662,23.694,25.16
12705,24.022,23.468
12748,24.199,25.706
12791,25.17,24.729
12834,23.742,24.304
12877,24.048,23.981
12920,23.925,24.595
12963,24.324,23.467
13006,23.58,24.359
13049,23.166,23.759
13092,22.565,24.424
13135,24.818,25.673
13178,21.905,26.222
13221,23.381,24.985
13264,22.581,24.622
13308,23.317,23.943
13351,23.645,25.256
13394,22.093,24.059
13437,24.706,25.729
13480,23.043,24.321
13523,23.022,24.892
13566,22.478,24.989
13609,22.835,24.224
13652,23.569,24.524
13695,23.038,23.671
13738,23.02,24.484
13781,23.162,23.941
13824,23.773,25.466
13867,23.477,23.535
13910,24.085,25.225
13954,22.114,23.222
13997,24.301,26.703
14040,24.369,25.922
14083,23.057,23.644
14126,25.317,25.161
14169,21.722,22.199
14212,22.755,23.522
14255,23.575,24.627
14298,23.031,23.8
14341,22.861,24.81
14384,23.66,22.912
14427,22.895,23.479
14470,22.931,24.161
14513,21.994,22.263
14556,23.099,24.139
14600,23.91,24.392
14643,22.916,24.463
14686,23.609,24.488
14729,22.626,23.507
14772,23.153,24.83
14815,24.304,24.138
14858,22.579,24.473
14901,21.341,24.012
14944,23.171,24.78
14987,22.033,21.558
15030,23.28,24.894
15073,21.797,23.308
15116,22.801,23.98
15159,23.603,24.077
15202,23.224,23.174
15246,23.03,24.778
15289,25.048,24.505
15332,23.31,25.294
15375,24.311,24.303
15418,23.66,23.796
15461,25.252,25.435
15504,25.257,26.694
15547,21.728,24.609
15590,23.411,24.524
15633,23.333,25.044
15676,24.363,24.753
15719,22.662,24.88
15762,23.748,23.652
15805,23.065,24.226
15848,22.696,23.979
15892,22.078,23.228
15935,23.534,24.492
15978,22.056,24.85
16021,22.904,24.097
16064,22.626,23.675
16107,22.871,22.607
16150,23.463,23.936
16193,22.519,23.336
16236,23.64,23.299
16279,23.153,24.571
16322,23.634,23.515
16365,22.312,24.021
16408,23.212,24.227
16451,23.562,23.872
16494,23.378,23.73
16538,22.633,22.626
16581,22.033,23.873
16624,22.305,24.504
16667,22.656,24.702
16710,23.405,23.954
16753,23.387,24.657
16796,23.02,22.347
16839,23.112,24.598
16882,23.164,24.313
16925,23.475,23.284
16968,22.522,25.012
17011,24.529,22.929
17054,20.385,24.129
17097,22.616,22.583
17140,22.733,23.552
17183,22.096,22.761
17227,22.456,23.257
17270,23.927,23.61
17313,23.304,23.216
17356,21.762,22.485
17399,22.527,24.61
17442,22.593,23.362
17485,23.093,24.762
17528,22.937,23.359
17571,22.59,23.603
17614,23.96,22.904
17657,22.618,24.244
17700,23.457,23.947
17743,22.38,23.084
17786,23.413,24.225
17829,21.242,24.41
17873,22.403,24.899
17916,22.251,24.552
17959,22.145,23.07
18002,22.268,24.085
18045,22.482,22.723
18088,22.593,23.744
18131,22.349,22.902
18174,22.552,24.109
18217,21.666,23.409
18260,23.664,23.711
18303,24.107,23.694
18346,21.979,24.333
