FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,56.62,56.691
86.133,55.096,55.799
129.2,55.715,56.102
172.27,55.947,56.481
215.33,55.201,55.66
258.4,48.006,48.808
301.46,77.202,77.803
344.53,95.724,96.325
387.6,96.493,97.095
430.66,80.663,81.262
473.73,49.551,50.009
516.8,54.541,55.215
559.86,55.529,56.162
602.93,54.897,55.646
646,54.207,54.813
689.06,54.386,55.347
732.13,57.655,59.874
775.2,54.33,55.778
818.26,51.054,51.659
861.33,50.411,51.217
904.39,49.857,50.455
947.46,49.225,49.936
990.53,48.759,49.486
1033.6,48.04,48.737
1076.7,54.43,53.772
1119.7,55.176,54.07
1162.8,48.438,48.734
1205.9,46.499,47.197
1248.9,46.155,46.738
1292,45.61,46.485
1335.1,45.522,46.179
1378.1,44.99,45.737
1421.2,48.895,48.699
1464.3,57.507,56.742
1507.3,53.998,53.449
1550.4,43.705,44.552
1593.5,43.706,44.238
1636.5,43.341,44.096
1679.6,43.187,43.74
1722.7,42.759,43.671
1765.7,42.581,43.228
1808.8,47.24,48.989
1851.9,49.392,51.379
1894.9,43.432,44.781
1938,42.009,42.462
1981.1,41.031,42.12
2024.1,41.578,42.126
2067.2,41.137,41.837
2110.3,40.936,41.72
2153.3,41.093,41.904
2196.4,43.295,44.981
2239.5,42.957,44.644
2282.5,40.301,40.598
2325.6,39.923,40.905
2368.7,40.004,40.656
2411.7,39.262,40.167
2454.8,39.923,40.389
2497.9,39.234,40.108
2540.9,41.247,41.557
2584,43.594,43.193
2627.1,39.848,40.287
2670.1,38.882,40.052
2713.2,38.553,38.941
2756.3,38.348,39.626
2799.3,38.386,39.016
2842.4,38.001,38.718
2885.4,38.774,39.233
2928.5,36.116,37.505
2971.6,40.411,40.452
3014.6,37.365,38.054
3057.7,37.453,38.267
3100.8,37.657,38.179
3143.8,36.993,38.286
3186.9,37.646,37.776
3230,36.87,38.089
3273,37.244,37.71
3316.1,36.751,37.594
3359.2,37.023,37.342
3402.2,36.805,37.54
3445.3,36.423,37.561
3488.4,36.583,36.528
3531.4,36.301,37.324
3574.5,36.242,36.925
3617.6,36.161,36.881
3660.6,35.821,37.531
3703.7,36.731,36.007
3746.8,35.972,36.762
3789.8,35.421,36.25
3832.9,35.656,36.455
3876,35.656,36.182
3919,35.356,36.56
3962.1,35.345,36.197
4005.2,35.782,36.124
4048.2,36.611,37.061
4091.3,35.747,36.514
4134.4,34.913,35.675
4177.4,34.902,35.495
4220.5,34.659,35.986
4263.6,35.305,35.135
4306.6,34.343,35.602
4349.7,34.682,35.113
4392.8,37.362,37.153
4435.8,38.48,37.225
4478.9,34.615,35.13
4522,34.113,34.837
4565,33.991,34.829
4608.1,34.376,35.308
4651.2,34.04,34.872
4694.2,33.774,34.166
4737.3,34.781,35.866
4780.4,39.75,39.017
4823.4,37.031,36.665
4866.5,33.687,34.712
4909.6,33.776,34.254
4952.6,33.276,34.187
4995.7,33.542,34.33
5038.8,33.406,34.054
5081.8,33.043,34.312
5124.9,39.944,37.24
5168,43.141,38.954
5211,35.527,34.815
5254.1,33.135,34.086
5297.2,33.005,33.149
5340.2,33.243,34.028
5383.3,32.747,33.485
5426.4,32.636,33.429
5469.4,33.925,33.588
5512.5,38.806,36.244
5555.6,37.827,35.06
5598.6,32.161,33.324
5641.7,32.166,33.467
5684.8,32.94,32.884
5727.8,32.058,33.089
5770.9,32.609,33.16
5814,32.088,32.8
5857,32.359,33.772
5900.1,31.831,35.002
5943.2,32.834,33.312
5986.2,31.983,32.903
6029.3,31.153,32.166
6072.4,32.546,33.365
6115.4,31.805,32.148
6158.5,32.082,32.513
6201.6,31.597,32.165
6244.6,31.869,34.745
6287.7,31.944,32.416
6330.8,31.567,32.67
6373.8,31.592,32.166
6416.9,31.503,32.294
6460,31.306,32.395
6503,31.539,32.018
6546.1,31.101,31.639
6589.2,31.743,33.813
6632.2,31.7,36.446
6675.3,30.962,33.264
6718.4,30.71,31.971
6761.4,31.734,31.794
6804.5,30.582,31.959
6847.6,31.322,31.472
6890.6,30.98,32.62
6933.7,30.999,31.307
6976.8,30.645,34.061
7019.8,32.709,35.117
7062.9,30.123,31.349
7106,31.028,31.829
7149,30.268,31.509
7192.1,30.888,30.939
7235.2,30.507,31.881
7278.2,30.697,30.813
7321.3,30.716,31.726
7364.4,30.514,33.031
7407.4,31.433,31.625
7450.5,30.062,31.325
7493.6,30.389,31.188
7536.6,30.389,31.197
7579.7,30.268,30.994
7622.8,30.281,30.861
7665.8,30.172,31.197
7708.9,30.471,31.634
7752,30.599,31.625
7795,29.918,31.132
7838.1,29.712,30.425
7881.2,30.629,31.014
7924.2,29.037,30.507
7967.3,30.443,30.697
8010.4,29.918,30.863
8053.4,29.694,30.7
8096.5,30.184,30.006
8139.6,29.358,31.648
8182.6,30.423,29.945
8225.7,29.484,30.418
8268.8,29.413,29.969
8311.8,29.438,31.113
8354.9,29.772,29.72
8397.9,29.372,31.1
8441,29.743,29.569
8484.1,29.393,31.06
8527.1,29.761,30.229
8570.2,30.075,29.945
8613.3,28.074,30.255
8656.3,30.194,29.86
8699.4,29.016,30.461
8742.5,28.756,29.521
8785.5,29.799,30.698
8828.6,28.81,29.278
8871.7,29.433,30.157
8914.7,29.853,30.214
8957.8,28.4,28.889
9000.9,29.422,29.804
9043.9,29.36,30.353
9087,28.909,29.453
9130.1,29.043,29.251
9173.1,27.99,30.466
9216.2,29.933,29.232
9259.3,28.464,29.847
9302.3,28.36,29.095
9345.4,29.901,30.114
9388.5,28.706,29.361
9431.5,29.099,29.458
9474.6,28.934,29.952
9517.7,28.642,28.911
9560.7,28.573,30.154
9603.8,28.514,28.943
9646.9,29.166,30.127
9689.9,28.144,28.65
9733,28.627,29.475
9776.1,28.449,29.747
9819.1,29.026,29.206
9862.2,27.746,28.807
9905.3,28.796,30.534
9948.3,28.875,29.962
9991.4,28.936,28.852
10034,28.069,29.097
10078,28.507,29.246
10121,28.431,29.565
10164,27.498,29.052
10207,28.534,28.846
10250,27.941,29.554
10293,28.782,28.817
10336,28.139,29.189
10379,27.871,29.659
10422,28.54,29.519
10465,27.815,28.47
10508,27.987,29.119
10551,27.085,29.492
10594,28.756,28.277
10637,27.743,29.393
10680,29.532,29.895
10724,27.229,27.241
10767,28.227,29.628
10810,27.967,28.997
10853,27.822,28.457
10896,28.022,28.968
10939,27.93,28.786
10982,26.819,28.498
11025,27.459,28.751
11068,28.39,28.877
11111,27.727,27.909
11154,28.117,29.019
11197,27.409,28.253
11240,27.965,28.901
11283,28.142,27.919
11326,26.704,28.746
11370,27.792,29.203
11413,27.8,28.522
11456,27.274,28.576
11499,27.845,28.394
11542,27.843,27.829
11585,26.838,28.818
11628,28.159,28.304
11671,27.248,28.43
11714,27.442,26.967
11757,27.923,29.292
11800,26.67,26.931
11843,27.556,29.107
11886,26.946,27.777
11929,27.354,27.967
11972,28.128,28.629
12016,26.988,27.339
12059,27.885,28.365
12102,26.424,27.076
12145,27.308,29.488
12188,27.735,27.873
12231,27.103,27.615
12274,27.21,28.123
12317,27.115,27.591
12360,27.6,28.272
12403,27.659,28.091
12446,27.169,28.11
12489,26.629,28.961
12532,27.943,28.536
12575,26.933,27.991
12618,27.614,27.545
12662,26.829,28.024
12705,27.051,27.795
12748,26.703,27.528
12791,27.077,27.353
12834,26.414,28.15
12877,27.415,27.489
12920,26.617,29.047
12963,26.862,28.043
13006,27.494,27.094
13049,26.652,28.262
13092,27.9,28.348
13135,26.708,27.101
13178,27.102,27.78
13221,26.565,27.733
13264,26.899,27.654
13308,26.5,27.449
13351,27.49,27.487
13394,26.228,27.977
13437,28.159,28.796
13480,26.128,27.003
13523,28.101,28.009
13566,26.376,27.087
13609,26.076,27.833
13652,26.626,27.169
13695,26.821,28.526
13738,27.084,26.805
13781,26.128,27.28
13824,27.173,27.455
13867,27.374,27.715
13910,25.729,26.732
13954,27.515,28.218
13997,26.316,26.386
14040,27.265,28.133
14083,26.772,27.458
14126,26.813,26.865
14169,25.765,27.642
14212,26.405,28.004
14255,27.191,27.518
14298,26.514,27.316
14341,25.87,27.97
14384,26.284,27.275
14427,26.508,27.087
14470,26.269,28.063
14513,26.673,26.857
14556,27.185,27.431
14600,25.811,26.505
14643,27.022,27.802
14686,25.977,25.998
14729,25.741,27.413
14772,27.208,26.743
14815,26.5,27.899
14858,25.48,27.019
14901,27.127,27.468
14944,25.624,27.584
14987,26.595,27.694
15030,26.491,27.3
15073,26.263,26.177
15116,26.504,28.39
15159,26.685,26.499
15202,26.594,26.632
15246,26.452,27.538
15289,26.03,26.988
15332,26.801,27.252
15375,26.133,27.554
15418,26.128,25.495
15461,26.383,27.567
15504,26.982,26.712
15547,26.661,27.439
15590,26.046,27.013
15633,26.407,26.677
15676,24.46,26.306
15719,27.493,27.042
15762,24.616,25.707
15805,26.63,26.971
15848,26.077,28.336
15892,25.823,25.496
15935,26.299,28.584
15978,25.676,26.63
16021,26.009,26.759
16064,26.754,27.222
16107,26.13,26.411
16150,26.965,27.439
16193,25.373,27.269
16236,26.381,26.481
16279,25.347,26.93
16322,27.05,27.869
16365,24.091,25.764
16408,27.656,27.953
16451,25.098,26.69
16494,26.844,27.079
16538,26.18,26.991
16581,25.677,25.616
16624,25.774,27.528
16667,26.054,25.007
16710,26.765,27.801
16753,25.024,26.469
16796,26.402,26.376
16839,26.76,26.511
16882,25.687,27.557
16925,26.723,25.915
16968,25.448,26.207
17011,26.748,27.452
17054,24.35,25.984
17097,26.63,27.754
17140,26.47,26.002
17183,24.804,26.835
17227,26.999,26.177
17270,25.648,26.547
17313,27.007,26.985
17356,25.097,26.322
17399,25.805,25.774
17442,25.696,27.289
17485,26.207,26.577
17528,25.361,26.251
17571,26.529,27.04
17614,26.097,26.774
17657,25.547,26.228
17700,26.621,26.027
17743,24.98,27.074
17786,26.365,26.044
17829,25.246,26.638
17873,25.462,26.346
17916,26.504,26.637
17959,25.417,25.655
18002,25.738,27.057
18045,25.663,26.135
18088,25.343,26.821
18131,25.368,26.188
18174,26.664,27.139
18217,26.385,26.122
18260,25.685,25.576
18303,25.439,26.279
18346,26.252,26.557
18389,25.585,26.766
18432,24.29,25.457
18475,25.597,27.817
18519,25.967,26.02
18562,24.797,26.97
18605,26.441,26.54
18648,26.199,26.527
18691,25.416,27.486
18734,26.838,25.478
