FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,52.133,51.119
86.133,50.371,50.772
129.2,50.248,50.777
172.27,50.7,51.503
215.33,49.53,50.167
258.4,44.292,44.617
301.46,71.029,71.638
344.53,89.694,90.311
387.6,90.507,91.122
430.66,74.822,75.431
473.73,45.62,46.266
516.8,48.185,48.86
559.86,49.637,50.095
602.93,48.769,49.394
646,49.087,49.565
689.06,78.084,78.497
732.13,87.373,87.787
775.2,81.765,82.181
818.26,50.033,50.589
861.33,44.335,45.073
904.39,47.118,46.845
947.46,45.999,45.765
990.53,48.842,49.06
1033.6,46.131,46.677
1076.7,48.128,48.839
1119.7,49.241,49.45
1162.8,45.265,47.847
1205.9,43.869,46.346
1248.9,44.143,46.659
1292,43.25,45.692
1335.1,42.755,45.151
1378.1,43.127,43.232
1421.2,72.049,71.481
1464.3,83.423,82.821
1507.3,79.524,78.922
1550.4,53.713,53.223
1593.5,37.762,38.03
1636.5,40.842,40.521
1679.6,39.714,39.723
1722.7,39.797,39.858
1765.7,38.93,38.87
1808.8,41.894,42.994
1851.9,44.838,46.14
1894.9,38.309,39.273
1938,37.839,38.192
1981.1,36.996,37.112
2024.1,36.67,36.994
2067.2,36.818,37.178
2110.3,35.513,36.471
2153.3,50.001,52.339
2196.4,63.517,65.925
2239.5,61.263,63.69
2282.5,40.775,42.907
2325.6,35.023,35.245
2368.7,34.697,35.271
2411.7,34.92,34.807
2454.8,33.76,34.629
2497.9,34.56,35.319
2540.9,34.39,34.112
2584,37.632,38.202
2627.1,33.69,33.576
2670.1,33.285,34.47
2713.2,33.796,33.724
2756.3,32.582,33.542
2799.3,34.131,33.795
2842.4,31.445,32.89
2885.4,36.728,34.975
2928.5,52.469,51.62
2971.6,51.429,50.213
3014.6,36.787,36.384
3057.7,31.963,33.471
3100.8,31.398,31.051
3143.8,31.958,32.832
3186.9,31.8,31.961
3230,31.308,31.824
3273,31.967,32.382
3316.1,31.259,31.639
3359.2,30.48,30.716
3402.2,31.753,32.321
3445.3,30.283,30.584
3488.4,31.06,31.814
3531.4,30.134,29.892
3574.5,30.695,32.33
3617.6,30.107,31.805
3660.6,41.327,37.784
3703.7,41.446,41.929
3746.8,32.661,29.338
3789.8,29.814,31.092
3832.9,30.215,30.737
3876,29.989,29.844
3919,30.022,31.11
3962.1,29.725,30.411
4005.2,29.135,30.756
4048.2,30.35,30.148
4091.3,28.741,30.088
4134.4,29.528,29.676
4177.4,29.187,30.103
4220.5,29.69,29.231
4263.6,28.833,30.289
4306.6,29.126,29.059
4349.7,31.361,31.222
4392.8,50.359,47.078
4435.8,53.132,49.868
4478.9,40.622,37.525
4522,27.991,29.832
4565,29.888,29.897
4608.1,27.462,29.927
4651.2,30.077,29.133
4694.2,27.849,30.861
4737.3,28.496,28.26
4780.4,32.657,31.863
4823.4,30.556,30.303
4866.5,26.898,28.451
4909.6,29.208,29.916
4952.6,27.402,28.192
4995.7,29.351,29.14
5038.8,27.674,29.278
5081.8,29.762,27.958
5124.9,53.662,48.395
5168,58.052,52.791
5211,47.372,42.597
5254.1,27.276,28.351
5297.2,27.703,27.917
5340.2,27.395,29.547
5383.3,27.403,27.656
5426.4,27.914,29.125
5469.4,28.52,28.145
5512.5,33.217,31.068
5555.6,31.255,29.403
5598.6,28.348,27.44
5641.7,27.064,28.607
5684.8,28.888,27.645
5727.8,28.236,28.59
5770.9,28.096,27.722
5814,28.711,28.23
5857,28.164,38.813
5900.1,32.307,44.8
5943.2,27.093,36.269
5986.2,26.315,27.605
6029.3,28.532,27.911
6072.4,25.29,26.487
6115.4,27.279,28.029
6158.5,28.909,27.115
6201.6,28.601,28.043
6244.6,27.878,27.097
6287.7,27.141,30.688
6330.8,28.992,26.063
6373.8,26.025,26.427
6416.9,26.818,28.573
6460,29.84,28.039
6503,28.217,31.183
6546.1,31.946,29.038
6589.2,32.116,40.256
6632.2,36.203,47.715
6675.3,32.956,41.158
6718.4,31.706,28.73
6761.4,31.477,26.98
6804.5,29.323,27.249
6847.6,29.462,27.475
6890.6,30.344,27.701
6933.7,27.61,28.948
6976.8,30.166,30.843
7019.8,30.028,31.909
7062.9,28.582,28.439
7106,27.568,29.258
7149,26.668,28.715
7192.1,26.741,28.707
7235.2,26.961,27.013
7278.2,25.651,26.128
7321.3,28.217,32.202
7364.4,34.389,40.654
7407.4,29.874,36.257
7450.5,27.293,24.229
7493.6,24.104,26.347
7536.6,26.554,25.945
7579.7,25.51,25.69
7622.8,23.754,24.803
7665.8,25.783,26.947
7708.9,25.345,25.364
7752,25.149,27.339
7795,26.25,25.753
7838.1,26.401,26.239
7881.2,26.056,25.506
7924.2,24.855,25.586
7967.3,25.098,25.787
8010.4,26.616,26.668
8053.4,24.608,25.797
8096.5,28.107,30.542
8139.6,26.676,28.42
8182.6,26.656,29.184
8225.7,24.923,27.476
8268.8,26.081,28.248
8311.8,25.049,25.852
8354.9,24.506,25.186
8397.9,27.14,27.902
8441,24.217,27.295
8484.1,27.214,27.653
8527.1,25.057,26.218
8570.2,26.828,25.773
8613.3,24.182,28.784
8656.3,25.53,26.672
8699.4,25.948,29.152
8742.5,23.704,25.942
8785.5,25.036,26.18
8828.6,24.367,28.108
8871.7,27.573,24.615
8914.7,26.548,26.652
8957.8,26.157,24.711
9000.9,27.837,26.365
9043.9,25.847,24.865
9087,28.197,25.963
9130.1,24.655,25.047
9173.1,27.607,26.958
9216.2,25.275,24.926
9259.3,26.253,26.85
9302.3,24.97,26.487
9345.4,23.943,24.094
9388.5,26.28,28.109
9431.5,23.816,24.596
9474.6,24.091,27.158
9517.7,25.068,24.939
9560.7,25.123,26.502
9603.8,27.441,27.202
9646.9,28.063,25.598
9689.9,27.113,25.533
9733,29.91,27.599
9776.1,27.727,26.495
9819.1,28.584,29.22
9862.2,25.205,24.935
9905.3,29.05,28.954
9948.3,27.708,26.596
9991.4,29.145,27.748
10034,26.688,24.963
10078,24.891,25.335
10121,24.341,25.346
10164,23.897,23.952
10207,24.178,23.846
10250,22.966,25.676
10293,28.186,26.874
10336,28.028,26.098
10379,25.396,25.286
10422,23.406,24.145
10465,25.122,24.316
10508,22.638,25.431
10551,24.53,24.995
10594,23.131,25.861
10637,25.139,25.569
10680,25.412,25.107
10724,24.636,24.7
10767,23.996,24.721
10810,24.065,24.156
10853,24.237,24.885
10896,22.382,25.564
10939,25.618,24.574
10982,23.068,25.381
11025,26.074,25.343
11068,27.713,27.543
11111,22.51,24.09
11154,25.96,24.407
11197,23.186,23.379
11240,25.164,24.847
11283,23.065,23.455
11326,24.181,25.797
11370,23.486,21.976
11413,23.572,26.139
11456,24.498,23.261
11499,22.404,24.617
11542,22.973,23.661
11585,24.138,24.654
11628,22.833,25.299
11671,22.556,24.754
11714,23.663,25.237
11757,23.961,24.856
11800,27.295,25.387
11843,22.541,24.545
11886,23.153,23.209
11929,24.318,25.236
11972,23.172,24.308
12016,21.552,23.53
12059,24.444,24.756
12102,21.173,24.545
12145,23.808,25.17
12188,22.495,24.145
12231,23.879,24.397
12274,22.605,24.292
12317,22.768,23.381
12360,22.761,24.672
12403,24.496,24.199
12446,22.503,25.259
12489,24.087,24.589
12532,25.307,28.166
12575,23.145,24.836
12618,22.339,24.685
12662,23.688,24.022
12705,22.904,24.551
12748,23.382,24.418
12791,23.34,24.678
12834,22.451,24.511
12877,23.169,24.48
12920,23.182,24.527
12963,22.866,22.773
13006,24.93,23.885
13049,24.429,23.165
13092,23.357,24.146
13135,23.653,24.774
13178,22.687,23.767
13221,23.863,23.354
13264,23.018,26.455
13308,23.682,23.672
13351,22.261,23.67
13394,23.206,23.195
13437,22.932,23.693
13480,22.23,23.165
13523,22.137,22.442
13566,22.95,24.233
13609,24.004,22.534
13652,23.898,24.887
13695,23.295,22.842
13738,22.125,24.964
13781,22.901,23.885
13824,23.273,23.445
13867,22.095,22.352
13910,23.363,23.145
13954,22.511,22.242
13997,24.039,23.016
14040,23.395,24.712
14083,22.972,25.678
14126,22.28,23.479
14169,22.761,24.82
14212,22.905,22.777
14255,23.051,22.208
14298,20.551,23.985
14341,21.739,21.97
14384,23.035,24.045
14427,23.692,24.184
14470,22.888,24.366
14513,22.819,23.537
14556,22.063,24.81
14600,21.356,22.789
14643,22.142,24.785
14686,22.277,23.069
14729,21.116,24.073
14772,23.815,23.263
14815,23.456,23.783
14858,23.816,23.538
14901,22.289,22.367
14944,22.067,24.153
14987,21.272,23.498
15030,22.847,23.605
15073,22.635,23.338
15116,24.91,24.072
15159,23.809,23.822
15202,22.97,24.563
15246,22.574,22.452
15289,22.219,23.4
15332,22.492,22.527
15375,22.392,24.21
15418,24.032,23.892
15461,22.648,24.53
15504,24.031,22.788
15547,21.511,23.272
15590,23.582,24.451
15633,22.503,23.742
15676,23.603,23.899
15719,23.128,25.093
15762,23.633,23.917
15805,22.723,23.556
15848,20.71,23.557
15892,23.095,24.022
15935,21.872,23.704
15978,23.289,22.946
16021,22.635,24.097
16064,23.788,22.231
16107,21.534,22.674
16150,23.594,23.359
16193,21.299,23.113
16236,22.837,22.314
16279,23.424,23.703
16322,21.731,24.637
16365,21.957,24.439
16408,23.163,23.761
16451,22.558,21.954
16494,22.108,24.005
16538,22.871,22.939
16581,21.847,23.346
16624,22.726,21.113
16667,23.633,25.449
16710,23.592,22.357
16753,24.098,23.389
16796,23.776,24.235
16839,23.676,22.138
16882,22.966,23.02
16925,22.82,23.68
16968,24.489,23.984
17011,23.657,22.199
17054,24.722,23.197
17097,24.027,24.414
17140,24.576,25.365
17183,24.569,23.414
17227,23.48,23.695
17270,22.408,21.788
17313,22.589,23.45
17356,23.787,22.243
17399,21.72,25.032
17442,23.852,24.23
17485,23.977,22.953
17528,24.43,24.334
17571,22.958,24.16
17614,22.341,23.865
17657,23.011,23.243
17700,23.273,23.813
17743,21.919,22.539
17786,23.876,24.151
17829,22.558,22.32
17873,22.659,23.281
17916,23.008,22.841
17959,22.227,24.154
18002,20.993,23.667
18045,22.59,23.169
18088,21.537,22.409
18131,21.81,23.845
18174,22.978,23.781
18217,21.547,22.805
18260,21.968,23.236
18303,22.622,21.878
18346,21.908,23.69
18389,20.759,22.552
18432,22.599,23.512
18475,22.323,23.452
18519,22.525,22.238
18562,22.05,22.533
18605,22.74,23.57
18648,22.67,24.136
18691,21.976,23.935
18734,22.756,24.193
18777,21.455,22.154
18820,21.503,22.72
18863,21.082,22.852
18906,22.439,22.933
18949,22.287,21.976
18992,22.45,23.485
19035,22.817,21.542
19078,20.538,23.732
19121,22.201,23.123
19165,21.324,23.325
19208,22.412,22.652
19251,23.572,21.948
19294,22.444,23.444
19337,22.394,24.341
19380,19.793,23.714
19423,22.161,22.931
19466,22.479,22.925
19509,21.843,24.986
19552,22.484,21.6
19595,21.641,22.308
19638,23.374,23.297
19681,22.267,22.524
19724,20.463,23.048
19767,23.092,23.396
19811,21.18,24.358
19854,21.35,22.457
19897,22.139,23.298
19940,21.215,21.744
19983,23.066,21.299
20026,22.645,23.576
20069,23.101,22.847
20112,22.625,24.301
20155,23.852,23.726
20198,21.178,20.575
20241,22.414,23.157
20284,21.82,22.376
20327,21.405,23.058
20370,22.15,21.197
20413,21.966,23.197
20457,21.495,21.614
20500,21.365,22.714
20543,22.789,23.639
20586,22.789,22.468
20629,21.617,24.435
20672,22.309,23.608
20715,21.905,24.093
20758,21.451,23.334
20801,22.52,24.577
20844,22.677,21.422
20887,22.675,22.828
20930,23.393,23.191
20973,21.445,22.713
21016,21.608,22.768
21059,21.684,21.009
21103,22.271,23.271
21146,22.221,23.63
21189,21.732,20.071
21232,21.841,23.702
21275,21.811,22.505
21318,23.145,21.286
21361,21.095,22.514
21404,22.2,23.224
21447,22.362,23.051
21490,21.187,23.881
21533,21.349,22.934
21576,21.206,21.817
21619,21.989,21.734
21662,21.959,20.649
21705,21.652,22.643
21749,21.821,21.552
21792,20.084,22.953
21835,19.765,22.256
21878,19.833,19.158
21921,21.826,22.11
21964,20.948,21.126
22007,21.494,22.633
