FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,51.052,51.587
86.133,51.531,51.39
129.2,51.366,51.446
172.27,51.381,51.803
215.33,50.827,50.948
258.4,51.921,51.652
301.46,70.864,71.483
344.53,89.325,89.967
387.6,90.208,90.848
430.66,74.707,75.348
473.73,53.083,53.451
516.8,50.981,51.508
559.86,50.944,51.386
602.93,50.242,50.804
646,52.438,52.937
689.06,77.627,78.136
732.13,87.048,87.552
775.2,81.588,82.091
818.26,54.601,54.924
861.33,48.465,48.681
904.39,45.639,45.902
947.46,45.007,45.436
990.53,43.486,44.106
1033.6,43.55,43.755
1076.7,47.327,46.02
1119.7,49.715,47.539
1162.8,43.093,43.234
1205.9,42.143,42.637
1248.9,42.208,42.361
1292,42.551,43.085
1335.1,43.105,42.721
1378.1,46.67,45.84
1421.2,71.349,70.784
1464.3,82.963,82.415
1507.3,79.345,78.796
1550.4,55.101,54.718
1593.5,42.134,41.617
1636.5,41.682,41.861
1679.6,40.552,40.514
1722.7,40.293,40.222
1765.7,39.323,39.493
1808.8,40.919,42.062
1851.9,42.048,43.91
1894.9,38.887,39.84
1938,37.983,37.53
1981.1,37.421,38.029
2024.1,37.229,37.188
2067.2,37.068,37.623
2110.3,36.439,36.891
2153.3,49.096,51.516
2196.4,63.085,65.488
2239.5,61.219,63.642
2282.5,42.168,44.021
2325.6,35.269,35.879
2368.7,35.144,35.215
2411.7,34.992,35.177
2454.8,34.881,35.579
2497.9,33.97,34.512
2540.9,35.427,35.8
2584,37.262,37.1
2627.1,34.962,35.314
2670.1,33.048,33.683
2713.2,33.787,34.163
2756.3,33.565,33.915
2799.3,33.101,33.526
2842.4,33.429,33.662
2885.4,37.082,37.219
2928.5,51.812,50.68
2971.6,51.812,50.925
3014.6,36.924,35.569
3057.7,32.185,32.638
3100.8,32.78,33.025
3143.8,31.625,33.029
3186.9,32.49,32.852
3230,31.637,32.606
3273,31.989,32.267
3316.1,31.984,32.334
3359.2,31.395,32.317
3402.2,31.604,31.645
3445.3,31.435,31.93
