FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,54.244,53.214
86.133,52.233,52.486
129.2,52.185,52.722
172.27,53.177,53.473
215.33,53.406,53.851
258.4,54.04,54.463
301.46,53.754,54.077
344.53,46.292,46.766
387.6,70.466,70.899
430.66,94.848,95.27
473.73,98.157,98.58
516.8,86.066,86.488
559.86,54.472,54.922
602.93,51.888,52.322
646,53.742,54.212
689.06,53.352,53.826
732.13,52.507,52.831
775.2,51.662,52.188
818.26,50.779,51.257
861.33,50.249,50.677
904.39,49.912,51.273
947.46,49.502,51.18
990.53,48.288,48.563
1033.6,47.302,47.753
1076.7,47.04,47.52
1119.7,47.181,47.93
1162.8,46.166,46.7
1205.9,45.348,45.796
1248.9,45.405,46.13
1292,45.04,45.88
1335.1,44.193,44.594
1378.1,45.066,44.694
1421.2,44.199,44.055
1464.3,42.971,43.617
1507.3,42.874,43.324
1550.4,42.746,43.105
1593.5,42.354,42.765
1636.5,41.879,42.159
1679.6,41.645,42.295
1722.7,41.651,41.854
1765.7,41.184,41.825
1808.8,40.829,41.23
1851.9,40.709,41.285
1894.9,40.367,40.945
1938,40.46,40.697
1981.1,40.027,40.555
2024.1,39.843,40.26
2067.2,39.622,39.896
2110.3,39.419,39.862
2153.3,39.087,39.931
2196.4,39.071,39.388
2239.5,38.742,39.164
2282.5,38.859,39.214
2325.6,38.457,38.934
2368.7,38.305,38.953
2411.7,38.101,38.86
2454.8,38.186,38.112
2497.9,37.767,38.428
2540.9,37.392,38.057
2584,37.711,38.002
2627.1,37.084,37.828
2670.1,37.506,37.573
2713.2,37.336,37.651
2756.3,36.634,37.355
2799.3,36.665,37.132
2842.4,36.859,36.946
2885.4,36.525,37.059
2928.5,36.244,37.232
2971.6,36.447,36.293
3014.6,35.93,36.918
3057.7,35.983,36.192
3100.8,35.88,36.572
3143.8,35.833,35.894
3186.9,35.604,36.397
3230,35.468,35.705
3273,35.341,35.892
3316.1,35.449,35.535
3359.2,34.98,35.969
3402.2,34.794,34.975
3445.3,35.173,35.773
3488.4,35.009,35.203
3531.4,34.548,35.089
3574.5,34.786,35.263
