FFT,Power Spectrum
Frequency[Hz],Level-L[dB],Level-R[dB]
43.066,83.412,82.008
86.133,93.232,91.834
129.2,88.056,86.66
172.27,66.29,65.175
215.33,62.634,61.64
258.4,57.055,57.342
301.46,56.376,56.472
344.53,49.282,51.377
387.6,50.159,52.274
430.66,43.963,45.339
473.73,43.728,46.669
516.8,42.772,41.768
559.86,39.433,41.388
602.93,41.339,40.162
646,39.553,38.811
689.06,39.701,39.256
732.13,36.044,36.511
775.2,38.897,39.317
818.26,38.528,36.358
861.33,36.327,35.671
904.39,36.762,36.344
947.46,35.969,35.303
990.53,36.004,36.117
1033.6,35.807,35.757
1076.7,35.091,34.381
1119.7,34.834,35.371
1162.8,35.06,35.579
1205.9,34.092,33.391
1248.9,34.439,34.763
1292,33.444,31.878
1335.1,33.523,33.412
1378.1,33.081,30.824
1421.2,31.764,31.57
1464.3,33.372,31.656
1507.3,32.136,31.088
1550.4,31.651,31.095
1593.5,32.04,30.555
1636.5,31.504,31.417
1679.6,31.332,30.365
1722.7,31.275,30.451
1765.7,30.825,30.777
1808.8,31.64,30.515
1851.9,29.481,28.438
1894.9,30.525,29.893
1938,30.184,29.225
1981.1,30.239,29.167
2024.1,29.742,28.054
2067.2,29.939,29.562
2110.3,29.186,27.541
2153.3,29.435,28.475
2196.4,28.536,28.166
2239.5,30.062,27.708
2282.5,28.626,28.674
2325.6,28.287,28.041
2368.7,29.073,27.649
2411.7,27.922,27.792
2454.8,28.264,27.671
2497.9,28.421,27.713
2540.9,27.845,27.332
2584,28.116,27.696
2627.1,27.331,26.049
2670.1,28.089,27.448
2713.2,27.877,27.056
2756.3,27.098,26.614
2799.3,27.528,26.802
2842.4,27.566,26.049
2885.4,26.347,26.305
2928.5,28.029,27.337
2971.6,26.413,26.165
3014.6,27.226,28.125
3057.7,26.928,26.437
3100.8,27.057,26.324
3143.8,25.698,25.475
3186.9,26.957,27.435
3230,26.582,25.971
3273,26.023,26.071
3316.1,25.999,26.064
3359.2,26.014,25.972
3402.2,25.743,25.75
3445.3,26.374,26.517
3488.4,26.188,24.523
3531.4,26.29,25.82
3574.5,24.478,23.539
3617.6,25.761,26.087
3660.6,25.5,24.902
3703.7,25.416,25.565
3746.8,25.273,25.796
3789.8,26.035,25.816
3832.9,25.175,24.191
3876,25.954,26.239
3919,24.666,23.351
3962.1,25.539,26.069
4005.2,24.694,24.524
4048.2,25.585,24.324
4091.3,24.586,24.919
4134.4,25.607,24.062
4177.4,24.356,25.459
4220.5,26.035,25.398
4263.6,23.733,25.406
4306.6,24.836,24.896
4349.7,23.818,25.756
4392.8,25.785,25.323
4435.8,24.945,23.281
4478.9,25.221,24.65
4522,25.543,24.869
4565,23.153,22.091
4608.1,25.326,25.039
4651.2,24.424,23.41
4694.2,25.945,24.807
4737.3,23.478,22.99
4780.4,24.294,23.135
4823.4,23.222,24.478
4866.5,24.673,24.255
4909.6,24.127,24.368
4952.6,24.1,23.868
4995.7,24.455,25.214
5038.8,23.704,23.577
5081.8,24.362,23.961
5124.9,23.545,23.379
5168,23.804,23.11
5211,23.48,23.536
5254.1,23.953,24.089
5297.2,22.899,21.798
5340.2,23.685,23.767
5383.3,24.712,23.64
5426.4,23.108,22.59
5469.4,23.159,24.467
5512.5,23.41,24.097
5555.6,23.502,24.103
5598.6,23.712,21.587
5641.7,23.638,24.986
5684.8,23.796,22.305
5727.8,23.903,22.939
5770.9,21.978,22.888
5814,22.529,21.878
5857,24.418,23.161
5900.1,23.215,22.039
5943.2,23.152,20.842
5986.2,23.707,22.864
6029.3,24.129,23.147
6072.4,21.743,23.783
6115.4,22.663,22.961
6158.5,23.376,22.846
6201.6,20.642,22.435
6244.6,25.117,22.576
6287.7,22.18,23.311
6330.8,23.829,23.641
6373.8,23.192,23.072
6416.9,22.523,24.509
6460,23.204,23.03
6503,24.184,23.226
6546.1,21.304,21.819
6589.2,23.083,22.908
6632.2,22.349,24.438
6675.3,23.177,22.388
6718.4,22.855,24.95
6761.4,22.787,23.694
6804.5,21.363,24.308
6847.6,22.481,20.424
6890.6,22.556,22.988
6933.7,23.732,23.532
6976.8,20.794,21.882
7019.8,23.134,22.735
7062.9,21.818,23.169
7106,23.731,22.985
7149,24.195,23.495
7192.1,23.073,22.008
7235.2,21.871,22.938
7278.2,22.521,23.493
7321.3,22.287,23.356
